,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★★★,"""Inception,"" at its most basic, is two things. It is a heist film dressed in science fiction conventions; and it is a study of a man trying to free himself from a near-suffocating past. ""Inception,"" at its more complex, is a cerebral pop-masterpiece. It is an enthralling combination of thought-provoking, layered story-telling and sumptuous aesthetics enhanced by near-flawless editing, sound design, effects, and musical score. Driven by a pitch-perfect cast and the confident directorial hand of Christopher Nolan, ""Inception"" is a brilliant and unrivaled piece of filmmaking.",5.0,0.0,0.849,0.151,0.926
1,★★★★★,cillian murphy: no dad i'm giving up on YOUR dream!,5.0,0.158,0.504,0.338,0.3595
2,★★★★½,christopher nolan spent years writing this movie's complex plot and really named the main character dom cobb,4.5,0.0,1.0,0.0,0.0
3,★★★★½,Dom Cobb seems like he's never told a joke in his life and has zero friends,4.5,0.097,0.616,0.287,0.5736
4,★★★★★,me: Gay,5.0,0.0,1.0,0.0,0.0
5,★★★★★,"""The most important emotional thing about the top spinning at the end is that Cobb is not looking at it. He doesn't care."" -Christopher Nolan, Wired interview, December 8, 2010.",5.0,0.0,0.824,0.176,0.5819
6,★★★★½,how is joseph gordon-levitt? is he okay? where is he? is he being taken care of? is he safe? will he ever work again? what is he doing? is his career over? oh how I wish my husband would return from war,4.5,0.076,0.698,0.226,0.7757
7,★★★★★,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",5.0,0.0,1.0,0.0,0.0
8,★★★★★,me: I LOVE THIS SONG!!!!!,5.0,0.0,0.33,0.67,0.7964
9,★★★★,living in your head rent free,4.0,0.0,0.602,0.398,0.5106
10,★★★★½,ilysm (i love you scillian murphy),4.5,0.0,0.543,0.457,0.6369
11,★★★★★,tom hardy????,5.0,0.0,1.0,0.0,0.0
12,★★★★★,me: i love this gay/lesbian solidarity !!!,5.0,0.0,0.355,0.645,0.8061
13,★★★★★,"if christopher nolan ever needs a script for the sequel, my arthur/eames fanfic is ready to go",5.0,0.0,0.857,0.143,0.3612
14,★★★★★,me: WHAT DOES THIS MEAN???? IS HE DREAMING???? DID HE NOT WAKE UP????? WHAT IS THE TRUTH?????? I NEED ANSWERS!!!!!!!!! I CAN'T LIVE LIKE THIS!!!!!!,5.0,0.179,0.821,0.0,-0.6985
15,★★★★★,me with my blu ray copy of inception already in my hand: okay im ready,5.0,0.0,0.612,0.388,0.765
16,★★★★★,I tried watching this movie with my dad but he just got mad and left because I wouldn't stop singing the score,5.0,0.175,0.731,0.095,-0.453
17,★★★★★,eames: whom the fuck,5.0,0.538,0.462,0.0,-0.5423
18,★★★½,explaining the rules of the dream world to Ellen Page.,3.5,0.0,0.818,0.182,0.25
19,★★★★★,jgl sexy,5.0,0.0,0.227,0.773,0.5267
20,★★★★★,"this is what dreams of dreams of dreams of dreams are made of, hey now!!",5.0,0.0,0.491,0.509,0.8856
21,★★★½,way too hot,3.5,0.0,1.0,0.0,0.0
22,★★★★,snap back to reality,4.0,0.0,1.0,0.0,0.0
23,★★★★★,My mom told me not to trust people that don't like this movie.,5.0,0.304,0.696,0.0,-0.5875
24,★★★★½,i just cant get you out of my head,4.5,0.0,1.0,0.0,0.0
25,★★★★½,The fact that 'The King's Speech' won Best Picture over this is laughable.,4.5,0.0,0.524,0.476,0.8442
26,★★★★★,(!!!) UGH I ALWAYS FORGET JUST HOW TRULY EXCELLENT IT IS I'M A SOBBING MESS RIGHT NOW,5.0,0.444,0.293,0.263,-0.6749
27,★★★★,I just think it's really neat.,4.0,0.0,0.548,0.452,0.5095
28,★★★★½,"redeems the action genre by misdirecting from its formulaic bore and still holding up as one of the best of its kind, ten years later. I forgot how unique Christopher Nolan is as a director despite his massive accessibility. His creative talent and ambitious filmmaking are what make his films such an incredible experience to watch in theaters. The Hans Zimmer scores never get old, as well.",4.5,0.025,0.739,0.236,0.9477
29,★★★★,"My guy Saito makes one phone call and gets a murder charge dropped? Yeah, Leo was definitely dreaming",4.0,0.199,0.593,0.208,-0.2023
30,★★★★★,i think about that a lot,5.0,0.0,1.0,0.0,0.0
31,★★★★★,what I mean: tom hardy is really hot in this movie,5.0,0.0,0.769,0.231,0.4019
32,★★★★,"The relationship between dreaming and movies, lucid dreaming and filmmaking. Pretty remarkable and increasingly difficult to not admire in retrospect - how did someone conceive of a cross between Marienbad and James Bond? Also perhaps emphasis on the retrospect - it's hard to imagine a film like this being made in the hyper-corporate climate of studio filmmaking today, and even sadder to realize that this was only nine years ago.",4.0,0.126,0.755,0.119,0.1144
33,★★★★½,I would absolutely love to finish a christopher nolan film without having to go on wikipedia immediately after,4.5,0.0,0.77,0.23,0.6697
34,★★★★,"Hans Zimmer's ""Time"" is one of the best things ever.",4.0,0.0,0.682,0.318,0.6369
35,★★★★★,again... enjoyed both films alot.,5.0,0.0,0.548,0.452,0.5106
36,★★★★★,"Can someone please stick a needle in me and let me slip into limbo, cause I wanna go build my dream castle",5.0,0.0,0.807,0.193,0.5106
37,★★★★,simulated catharsis is still catharsis.,4.0,0.0,1.0,0.0,0.0
38,★★★★★,"fellas, is it gay?",5.0,0.0,1.0,0.0,0.0
39,★★★★★,being stuck in limbo with leonardo dicaprio doesn't seem like a bad idea to me,5.0,0.229,0.612,0.159,-0.067
40,★★★★½,"academy voters be like ""was really confused when i saw 'written & directed by christopher nolan' at the end....... ur telling me this WASNT little women?? those timelines could've fooled me!""",4.5,0.17,0.757,0.073,-0.5179
41,★★,"Watching this trash film was a toil, and I don't wish to waste additional time writing criticism on it. I will, however, draw attention to DiCaprio's spectacular hair, which is not in any way boring, disjointed, or derivative, or lacking in character development, or a mishmash of Nolan nonsense interspersed with gratuitous violence and gunplay.",2.0,0.263,0.7,0.037,-0.9221
42,★★★★★,"(the notorious b.i.g. voice) IT WAS ALL A DREAM, CHRISTOPHER NOLAN IS THE MOTHERFUCKING SUPREME",5.0,0.303,0.408,0.288,-0.0943
43,★★★★½,"So epic it hurts. I'm willing to gloss over the few plot questions it leaves and just be enveloped by the killer combo of Nolan & Zimmer (whose soundtrack, incidentally, makes *everything* feel epic if you put it on loud enough).",4.5,0.168,0.832,0.0,-0.8255
44,★★★★★,"Edit: one of my favorite endings ever, especially with the score.",5.0,0.0,0.769,0.231,0.4588
45,★★★★½,tom hardy and joseph gordon-levitt... they are FUCKING each other,4.5,0.0,0.769,0.231,0.4019
46,★★★★★,Music by Hans Zimmer. Directed and written by Christopher Nolan. All the actors smashed their rolls. Everything I need,5.0,0.0,1.0,0.0,0.0
47,★★★★★,"The camera focuses in on Arthur and Eames, over the directors commentary we hear Christopher Nolan speak. ""Two guys chilling in a dream world, five feet apart 'cause they're not gay.""",5.0,0.035,0.9,0.064,0.2263
48,★★★★★,The real cobb is nolan and The real inception is happened to us,5.0,0.0,1.0,0.0,0.0
49,★★★★½,my last brain cell is overheating like my macbook when I play poptropica for too long!!! I still cannot look at a top spinner the same!!!!,4.5,0.058,0.723,0.219,0.6679
50,★★★★★,have the brains to create such astonishing satire?,5.0,0.0,0.769,0.231,0.2732
51,★★,"""Edward E. Nigma......Enigma.....""",2.0,0.0,1.0,0.0,0.0
52,★★★★★,to rewatch,5.0,0.0,1.0,0.0,0.0
53,★★★★★,For a tenth anniversary piece. Still just rocks in terms of propulsion. It never stops moving.,5.0,0.0,0.907,0.093,0.1139
54,★★★★★,I don't know what film those people who call this masterpiece overrated saw but this film definitely gets better the more you rewatch it and watching it with people who haven't seen it before is even better,5.0,0.0,0.693,0.307,0.9347
55,★★★★,I need to see Tenet!,4.0,0.0,1.0,0.0,0.0
56,★★★★½,www.larsenonfilm.com/inception,4.5,0.0,1.0,0.0,0.0
57,★★★★★,"is that truly rare, intelligent summer blockbuster packed with ideas and concepts to keep the audience contemplating long after the credits. My favorite Nolan film.",5.0,0.0,0.567,0.433,0.936
58,★★★★★,my hair is not only falling out due to the stress of watching this but also the fact we still haven't had an ellen page/nolan collab since this,5.0,0.065,0.893,0.042,-0.1724
59,★★★★★,Overall Rating: A+,5.0,0.0,1.0,0.0,0.0
60,★★★★½,nolan be casting his movies like: yeah this should make em horny. drop it,4.5,0.118,0.618,0.264,0.3818
61,★★★,what the he-fuck is going on???,3.0,0.0,1.0,0.0,0.0
62,★★★★★,Yeah.,5.0,0.0,0.0,1.0,0.296
63,★★★★★,arthur: eames this is verbal conversation,5.0,0.0,1.0,0.0,0.0
