,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★★★,"I have a headache, but it's the best headache I've ever had.",5,0.0,0.608,0.392,0.7783
1,★★★★★,tell me you wouldn't cry too if your son grows up to be casey affleck,5,0.0,0.846,0.154,0.3724
2,★★★★★,"I'm pretty sure no one will EVER come close to being as talented as Hans Zimmer is, also I would kill 10 people just to see this in theaters.",5,0.178,0.594,0.227,0.2263
3,★★★★,When those Zimmer organs kick in *biggest possible chef's kiss*,4,0.0,1.0,0.0,0.0
4,★★★★★,i needed a REALLY good cry,5,0.407,0.2,0.393,-0.0384
5,★★★★★,HOLY SHIT I AM REALLY NOT OKAY WITH BEING ALIVE RIGHT NOW,5,0.343,0.496,0.161,-0.4487
6,★★★★½,you know youre #FAMOUS when just the fact that you're randomly in the movie is the Big Twist (@mattdamon),4,0.0,1.0,0.0,0.0
7,★★★★,watched on my 13 inch macbook air just as christopher nolan intended <3,4,0.0,0.805,0.195,0.4404
8,★★★★★,JESSICA CHASTAIN SAVED US ALL,5,0.0,0.588,0.412,0.4215
9,★★★★½,(she also happened to be my mom),4,0.0,1.0,0.0,0.0
10,★★★★,christopher nolan should make a superhero movie. imagine how good that would be,4,0.0,0.791,0.209,0.4404
11,★★★★★,hahahaha the main menu came on and i started crying what the fuck why is this the saddest movie to ever exist,5,0.371,0.629,0.0,-0.891
12,★★★★★,A visionary achievement that I will cherish until I settle down for the long nap.,5,0.0,0.625,0.375,0.7184
13,★★★★★,i hate to sound like a cheesy old white lady but that shit is breathtaking bro,5,0.315,0.435,0.25,-0.3612
14,★★★★½,www.littlewhitelies.co.uk/theatrical-reviews/interstellar-28347,4,0.0,1.0,0.0,0.0
15,★★★★½,fuck you matthew mcconaughey for making me cry,4,0.524,0.476,0.0,-0.765
16,★★★★,And half stupid ass bumbfuck ending dumbass stupid ass what the dumb halo ring human life bull bdkrkfigi,4,0.633,0.367,0.0,-0.967
17,★★★★★,this planet were going to be around long enough for jessica chastain to figure out a way to get us all the fuck off of it,5,0.127,0.873,0.0,-0.5423
18,★★★★★,the best film of the 2010s,5,0.0,0.543,0.457,0.6369
19,★★★★½,"Nolan's protagonists have always been obsessed explorers of one form or another. Somehow I don't think I realized until now just how much they're driven by loss, battling the universe's unbending laws forbidding the undoing of a past trauma or mistake.",4,0.307,0.693,0.0,-0.9042
20,★★★★★,"Time and space, quantifiable love, the 4th dimension - Nolan's masterpiece and one of the best films of the decade; montage/crosscutting that makes you believe there is, again since the renaissance, a true link between art and science. It reminds me of Jia Zhangke's notes on Godard, Tarkovsky and Eisenstein: that the former two did not go as far as Eisenstein because they only studied art and politics, but failed to study physics and chemistry.",5,0.054,0.828,0.118,0.4939
21,★★★,Why did they have to go and ruin what could have been a great film!,3,0.188,0.594,0.218,0.1511
22,★★★★★,"obviously, all clashing with nolan's cold precision and construction that attempts to turn scientific theory and very basic existential and emotional ideas of generational mortality into something not just physically tangible but physically achievable. ultimately makes this kind of feel like watching a weird, sad robot man try to algorithmically process the value of humans as deeply frail and emotional beings, which is dramatically misguided maybe but so conceptually moving i can't help but get swept up in it. i feel every corny second of this thing.",5,0.093,0.779,0.128,0.3427
23,★★,remember how nasa asked sally ride if 100 tampons was enough for one week in space? anne hathaway goes for like two minutes tops and she wants to fuckin go to planet whatever to chase after a dude she banged ten years ago because women are guided by their emotions and love is all you need,2,0.0,0.839,0.161,0.875
24,★★,e) All of the above.,2,0.0,1.0,0.0,0.0
25,★★★★,"""Fu-gay-zee, fugazi, it's a wozzy it's a woozy.""",4,0.0,1.0,0.0,0.0
26,★★★★½,how dare this fucking movie make me cry... TWICE,4,0.0,1.0,0.0,0.0
27,★★★,"So good in its best sequences, so immensely flawed, over-explained, nonsensical, or insulting in others.",3,0.142,0.531,0.327,0.6361
28,★★★★★,ZOOP! THIS MOVIE RUINED MY LIFE,5,0.404,0.596,0.0,-0.5255
29,★★★★½,Still don't like Inception though,4,0.345,0.655,0.0,-0.2755
30,★★★★½,stans where you at???,4,0.0,1.0,0.0,0.0
31,★★★★★,my wig flew and is currently orbiting every far corner of space and time with mr mcconaughey,5,0.0,1.0,0.0,0.0
32,★★½,It is two and half hours of show and tell I will not put myself through again.,2,0.0,1.0,0.0,0.0
33,★★★★★,The great (unintentional) running joke in Interstellar? It's all about fixing problems with GRAVITY. It succeeds.,5,0.112,0.496,0.393,0.7783
34,★★★★,The most jaw dropping part of this is still when Matt Damon shows up,4,0.0,1.0,0.0,0.0
35,★★½,"Favorite laughable non-spoiler moment: when it turns out there is a dry erase board on the reverse side of a monitor on the spaceship, useful for diagramming ways to avoid black holes.",2,0.062,0.737,0.201,0.5994
36,★★½,www.larsenonfilm.com/interstellar,2,0.0,1.0,0.0,0.0
37,★★★★,"Trotzdem kam heute seltsamerweise ein ""Like-Stern"" hinzu.",4,0.0,1.0,0.0,0.0
38,★★★★★,"gshsbdvsv as we were leaving the theatre this guy goes ""one hour of a christopher nolan movie is four years of real time""",5,0.0,1.0,0.0,0.0
39,★★★★★,science-fiction is the best thing ever,5,0.0,0.543,0.457,0.6369
40,★★★★★,so much with a movie,5,0.0,1.0,0.0,0.0
41,★★★★½,Patreon,4,0.0,1.0,0.0,0.0
42,★★★★★,"This was not the case, because I was once again left sitting in the theater completely amazed and not knowing what to do or say (for the most part). But I'm not complaining.",5,0.0,0.855,0.145,0.623
43,★★★★½,*new word?,4,0.0,1.0,0.0,0.0
44,★★★★★,Where do I put all the tears I've been choking on for the past hour.,5,0.29,0.71,0.0,-0.5994
45,★★½,2001: A Space Odyssey with an audio commentary track you can't turn off,2,0.0,1.0,0.0,0.0
46,★★★★½,I WILL NEVER TRUST MATT DAMON FOR AS LONG AS I LIVE. FUCK MATT DAMON !!!,4,0.41,0.59,0.0,-0.8539
47,★★★½,In space every one can hear your love,3,0.0,0.625,0.375,0.6369
48,★★★★★,"(also: thank you all for 4,000 followers! it really means a lot <3)",5,0.0,0.798,0.202,0.4199
49,★★★★★,before the end credits even rolled.,5,0.0,0.667,0.333,0.3612
50,★★★★★,"hello my name is sree and my hobbies include crying, sobbing, weeping... oh and bawling",5,0.305,0.695,0.0,-0.6908
51,★★★★★,"when the gates of heaven start opening, this soundtrack starts playing",5,0.0,0.638,0.362,0.6249
52,★★★★★,".""",5,0.0,1.0,0.0,0.0
53,★★★★★,"Inception is still his masterpiece but still, this is easily one of the greatest sci-feats i've seen. Thank you once again, Christopher. You're MAGNIFICENT!",5,0.0,0.47,0.53,0.9734
54,★★★★½,"Better than I remember, idk why but I reaaally enjoyed it this time.",4,0.077,0.513,0.41,0.7351
55,★★★★½,"matthew mcconaughey was indeed that astronaut in the ocean, rolling down the in deep",4,0.0,1.0,0.0,0.0
56,★★,I would rather snorkel on the giant wave planet than watch this movie ever again,2,0.0,1.0,0.0,0.0
57,★★★★★,he was her fuckign ghost,5,0.365,0.635,0.0,-0.3182
58,★★★★½,Most visceral/exciting theater-going experience I've had in maybe ever. IMAX or nothing. Adored Zimmer's score. Loved it.,4,0.11,0.706,0.184,0.3753
59,★★★★★,ebiri.blogspot.com/2014/12/interstellar-loneliest-journey-in-human.html,5,0.0,1.0,0.0,0.0
60,★★★★½,after watching this 3 hours film i know exactly how they felt on that water planet,4,0.0,1.0,0.0,0.0
61,★★★★★,sometimes i really do wonder if there is ever going to be another film like this,5,0.0,0.848,0.152,0.3612
62,★★★★★,Love is the one thing we're capable of perceiving that transcends time and space.,5,0.0,0.638,0.362,0.7783
63,★★★★,Christopher Nolan is a modern cinematic genius.,4,0.0,1.0,0.0,0.0
64,★★★★★,Nope. Still a masterpiece.,5,0.622,0.378,0.0,-0.5096
65,★★★★★,"Interstellar is a grand experience. It's about family, selflessness, sacrifice, the amazing vastness of time and space. Christopher Nolan has on his hands perhaps the third perfect film in his belt, which is incredible considering he should be making movies for years to come, with permission to do whatever he wants, hopefully we can get more stories that explore the existence of humanity, really make us think reasonably and logically about what's next. Overall, Interstellar is one of those masterpieces that only gets better as time goes by and shall be remembered with generations to come.",5,0.0,0.82,0.18,0.9618
66,★★★★★,my eyes are WET,5,0.0,1.0,0.0,0.0
67,★★★★★,"no words, apart from christopher nolan is the best working director alive today.",5,0.116,0.526,0.358,0.6808
68,★★★★★,i fell asleep like 6 times,5,0.0,0.545,0.455,0.3612
69,★★★★★,and it still has the same astounding impact it had on me upon my first time witnessing it in the theater last November. One of my all-time favorite experiences with a film. I love every second of this beautiful creation.,5,0.0,0.664,0.336,0.9495
70,★★★★★,i sad,5,1.0,0.0,0.0,-0.4767
71,★★★★★,"this is definitely one of my favorite films ever, and who knows, in time it might even become my absolute favorite",5,0.0,0.674,0.326,0.8271
72,★★★★½,it's pretty crazy how jessica chastain sacrificed herself for our sins,4,0.325,0.482,0.193,-0.296
73,★★★★½,"Alright, astronauts",4,0.0,0.333,0.667,0.25
74,★★★★★,yet another movie that reinforces the idea that jessica chastain is the only one who can save the world and that matt damon should be just left in space,5,0.0,0.897,0.103,0.4939
75,★★★★½,"Really great, liked it more than I remember.",4,0.0,0.401,0.599,0.8162
76,★★★★½,"""I hate space travel. Everyone gets older, I stay the same age.""",4,0.27,0.73,0.0,-0.5719
77,★★★★★,"Equal parts science lesson, metaphysical mumbo-jumbo and emotional manipulation. I loved it.",5,0.14,0.51,0.35,0.5106
78,★★★★★,i hope christopher nolan and hans zimmer are having a good day.,5,0.0,0.58,0.42,0.7003
79,★★★★★,10/10,5,0.0,1.0,0.0,0.0
80,★★★,screencrush.com/see-interstellar-on-film/,3,0.0,1.0,0.0,0.0
81,★★★★★,Matthew thanks for making me cry my eyes out.,5,0.238,0.538,0.223,-0.0516
82,★★★★,it seems that one of my newfound favourite hobbies is translating Michael Caine's lines from this film into English,4,0.0,1.0,0.0,0.0
83,★★★★½,heartbreak and pain kick in from these lines!!!!!!! here we fucking go !,4,0.45,0.55,0.0,-0.8469
84,★★★★½,"I think what Christopher Nolan was trying to say with Interstellar is simple: You either die a Timothee Chalamet, or you live long enough to see yourself become the Casey Affleck",4,0.122,0.878,0.0,-0.5994
85,★★★★½,of Man out of time.,4,0.0,1.0,0.0,0.0
86,★★★½,this is probably the fastest i've ever realized i'm too dumb to understand a movie,3,0.202,0.798,0.0,-0.5106
87,★★★★★,"for some reason i never got round to watching this, and i can say that not having experienced the transcendent beauty of this film until now is one of biggest regrets. it breaks and rebuilds your heart in the most unique way and i was completely hypnotised, so to the other 2-5 people in the world who haven't seen it, PLEASE WATCH PLEASE",5,0.112,0.832,0.056,-0.4037
88,★★★★,"is a hugely ambitious sci-fi film from Nolan that doesn't disappoint. An emotional narrative with spectacularly stunning visuals, even if the story is slightly convoluted. This one takes us to infinity and beyond.",4,0.038,0.743,0.219,0.7787
89,★★★★,"Oh, and Casey Affleck's there. Sometimes.",4,0.0,1.0,0.0,0.0
90,★★★★½,We need more movies like Interstellar.,4,0.0,0.643,0.357,0.4173
91,★★★★½,The video message scene will never not make me bawl my eyes out. WHAT A MOMENT!!,4,0.0,1.0,0.0,0.0
92,★★★★★,PERFECT IN EVERY WAY!!!!!!!!!!!!!!!!!,5,0.0,0.381,0.619,0.7067
93,★★★★,oh and I also got a 70mm imax film print of Jessica Chastain that came with my bluray...who could ask for more,4,0.0,1.0,0.0,0.0
94,★★★★½,"Remarkably intelligent and undeniably ambitious, Christopher Nolan finds the perfect balance of space thrills and human emotion in the truly brilliant Interstellar.",4,0.0,0.453,0.547,0.9601
95,★★★½,That one time where Matt Damon is the most unlikeable character in the movie.,3,0.0,1.0,0.0,0.0
96,★★★★★,Endlessly viewable. Always gets me in the feels. What an ensemble.,5,0.0,1.0,0.0,0.0
97,★★★,Nolan,3,0.0,1.0,0.0,0.0
98,★★★★,3. Interstellar is Christopher Nolan's most complete film to date.,4,0.0,1.0,0.0,0.0
99,★★★½,Still good though.,3,0.0,0.408,0.592,0.4404
100,★★★★½,It's such a film where I have nothing to complain about.,4,0.0,0.791,0.209,0.2755
101,★★★★½,Nolan Ranked,4,0.0,1.0,0.0,0.0
102,★★★,still stand.),3,0.0,1.0,0.0,0.0
103,★★★★½,"Interstellar is definitely the most ambitious movie of the 2010s, which doesn't have to mean that it's perfect, there are parts of it that I'm still not sure make a hundred percent sense. Despite this, it is so well done in all its technical components and is so emotionally satisfying that there is no denying its position as a classic of modern cinema.",4,0.087,0.703,0.21,0.882
104,★★★★★,A monumental achievement in every department.,5,0.0,1.0,0.0,0.0
105,★★★★★,Interstellar (2014) Changed My Life?!?!! *NOT CLICKBAIT*,5,0.0,1.0,0.0,0.0
106,★★★★½,"The Nolan brothers are both extremely talented men in both story telling and visual art. I watched this movie without knowing much about it, I loved the story and the characters in this movie. Great movie but i know i cant wrap my head around the entire movie. But its a must a see!",4,0.0,0.856,0.144,0.7642
107,★★★★★,forgot how this stupid ass space movie ruined my life why would you people do this why why why,5,0.398,0.602,0.0,-0.891
108,★★★★★,I MIGHT GO INTERSTELLAR I FEEL LIKE MATTHEW MCCONAUGHEY! EVERYBODY SAY THANK YOU CHRISTOPHER NOLAN!,5,0.0,0.663,0.337,0.6792
109,★★★★★,p.s i too would wait for u matthew mcconaughey <3333,5,0.0,1.0,0.0,0.0
110,★★★★★,Many tears were shed,5,0.388,0.612,0.0,-0.2263
111,★★★★★,"Preachier than I remember, particularly in the beginning during the world building, but still emotionally powerful and visually stunning. Carried heavily by one of my favorite soundtracks of the past several years.",5,0.0,0.716,0.284,0.9022
112,★★★★½,Reevaluation: this rules so hard.,4,0.318,0.682,0.0,-0.2183
113,★★★★★,"i'll never forget watching this for the first time, at the cinema with my dad. when the credits rolled i was sobbing, distraught, and he went ""people kept unwrapping their sweets loudly, didn't they?""",5,0.149,0.674,0.177,0.0428
114,★★★★★,Christopher Nolan is a chad.,5,0.0,1.0,0.0,0.0
115,★★★★★,"me, weeping: oh my god.........i'm having feelings again. like some kind of fourteen year old kid. you remember feelings, right?",5,0.124,0.769,0.107,-0.1027
116,★★★★★,And let's not forget TARS. Because TARS should be worshipped.,5,0.0,0.599,0.401,0.656
117,★★★★½,Nothing gets me believing in the power of cinema quite so much as when Nolan (and Lee Smith) edit the climaxes of two storylines together to knock me flat on my back.,4,0.0,1.0,0.0,0.0
118,★★★★½,space and time absolutely terrifies me so this was pretty much almost 3 hours of my stomach doing flips but GOD was that last act worth it !!!,4,0.071,0.664,0.266,0.7757
119,★★★★★,do you just cry even when it's not time to cry yet because you just know what it's all about and you know it's been him since the beginning and he's gonna save the world and it's tears all over the place even before the movie starts or are you normal?,5,0.139,0.806,0.055,-0.5994
120,★★½,14 hours into interstellar and cry and you still got 44 minutes left,2,0.205,0.795,0.0,-0.4767
121,★★★★½,when anne hathaway turns her head away and sighs when michael caine recites that damn dylan thomas poem again #same,4,0.124,0.876,0.0,-0.4019
