,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★★★,"If you do not like this movie, I do not like you.",5,0.319,0.681,0.0,-0.4973
1,★★★★★,the best superhero movie ever made. period,5,0.0,0.588,0.412,0.6369
2,★★★★★,has no right to still be this good,5,0.19,0.518,0.292,0.2903
3,★★★★½,"I got really sick of hearing about this movie, it inspired a lot of bad trends, it has a ton of terrible friends, and there's some stuff in there that doesn't work. But you know what? On a whole it's exhilarating and riveting and contains like 800 great scenes.",4,0.162,0.589,0.248,0.6605
4,★★★★★,"i'm here to say that heath ledger and only heath ledger is the joker, period.",5,0.0,0.903,0.097,0.128
5,★★★★★,"my friend said Heath was ""okay"" in this so who wants to sign a petition to send her to the north pole",5,0.0,0.862,0.138,0.4939
6,★★★★½,itself.,4,0.0,1.0,0.0,0.0
7,★★★★★,CHRISTOPHER NOLAN + HANS ZIMMER+ HEATH LEDGER+CHRISTIAN BALE= MASTERPIECE,5,0.0,0.631,0.369,0.6249
8,★★★★★,so that's what really burned one side of harvey's face,5,0.0,1.0,0.0,0.0
9,★★★½,cryingggg the way harvey screams RACHEL is so funny every time,3,0.147,0.602,0.25,0.3697
10,★★★★½,chris nolan: *sweating* UHHH,4,0.0,1.0,0.0,0.0
11,★★★★★,#harveydentisoverparty,5,0.0,1.0,0.0,0.0
12,★★★★★,say what you want about the joker but in this he both sanitised his hands AND wore face mask so i can definitely say he's more considerate than a lot of people,5,0.0,0.709,0.291,0.8644
13,★★★★,"""That's not exactly what I meant when I said I wanted to inspire people.""",4,0.0,0.73,0.27,0.5719
14,★★★★★,look i know this is a boring opinion but this movie rules and hans zimmer and james newton howard went that hard for US,5,0.14,0.86,0.0,-0.3071
15,★★★★★,i'm a fan of movies i like movies a lot,5,0.0,0.51,0.49,0.5859
16,★★★★★,i can't believe jake gyllenhaal's Bean Ass converted heath ledger into the greatest actor of our time,5,0.161,0.645,0.194,0.1779
17,★★★★★,"I remember when I went to see this in theaters with my father, I drank a large coke and around 110 minutes in I had to piss hardcore. I stood up and my father looks over and says ""sit down, you don't want to miss a second of this"". He was right obviously, but it was the closest I have ever been to pissing my pants at a movie.",5,0.102,0.879,0.019,-0.6473
18,★★★★½,what if there was no joker and the hospital just did that,4,0.161,0.73,0.109,-0.1779
19,★★★★★,a lot of homoerotic tension in this!,5,0.341,0.659,0.0,-0.3802
20,★★★★½,I don't think it would be.,4,0.0,1.0,0.0,0.0
21,★★★★★,boxd.it/1tga2d,5,0.0,1.0,0.0,0.0
22,★★★★★,Certainly does not dissappoint. I understand now why they called it a game-changer for superhero films.,5,0.0,0.844,0.156,0.34
23,★★★★½,"batman throws a dog off a building, pure cinematic excellence",4,0.0,0.631,0.369,0.6249
24,★★★★★,what. a. masterpiece.,5,0.0,0.328,0.672,0.6249
25,★★★★★,Everything has been said,5,0.0,1.0,0.0,0.0
26,★★★★★,the very definition of poetic cinema is casting a man with one of the most defined dimples in history as a character named Harvey Dent,5,0.0,1.0,0.0,0.0
27,★★★★★,UGH I MISS HEATH SO MUCH,5,0.595,0.405,0.0,-0.5267
28,★★★★★,everyone in this movie is hot,5,0.0,1.0,0.0,0.0
29,★★★★,Rating: 75/100,4,0.0,1.0,0.0,0.0
30,★,"well-made bush era right-wing propaganda that has aged terribly. seriously, go watch this again and see just how awful bale is as batman, how the harvey dent sub-plot is crammed into the film's fourth act, and how boring the film is every time heath ledger isn't on screen",1,0.227,0.773,0.0,-0.891
31,★★★,Batman does some stuff. Joker does some stuff. Robin still trapped in closet.,3,0.214,0.692,0.094,-0.4404
32,★★★★½,: i cant live like this,4,0.413,0.587,0.0,-0.2755
33,★★★★★,"Probably the movie that made me realize that super cool fights aren't the most compelling part of a superhero film. This film molded my ""film-making style"" and I hope to create something at least half as good as this in my lifetime.",5,0.089,0.639,0.273,0.8597
34,★★★★★,boxd.it/1w6pK7,5,0.0,1.0,0.0,0.0
35,★★★,He got the scars from SOCIETY,3,0.0,1.0,0.0,0.0
