,Comments
0,"""Inception,"" at its most basic, is two things. It is a heist film dressed in science fiction conventions; and it is a study of a man trying to free himself from a near-suffocating past. ""Inception,"" at its more complex, is a cerebral pop-masterpiece. It is an enthralling combination of thought-provoking, layered story-telling and sumptuous aesthetics enhanced by near-flawless editing, sound design, effects, and musical score. Driven by a pitch-perfect cast and the confident directorial hand of Christopher Nolan, ""Inception"" is a brilliant and unrivaled piece of filmmaking."
1,cillian murphy: no dad i'm giving up on YOUR dream!
2,christopher nolan spent years writing this movie's complex plot and really named the main character dom cobb
3,Dom Cobb seems like he's never told a joke in his life and has zero friends
4,me: Gay
5,"""The most important emotional thing about the top spinning at the end is that Cobb is not looking at it. He doesn't care."" -Christopher Nolan, Wired interview, December 8, 2010."
6,how is joseph gordon-levitt? is he okay? where is he? is he being taken care of? is he safe? will he ever work again? what is he doing? is his career over? oh how I wish my husband would return from war
7,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
8,me: I LOVE THIS SONG!!!!!
9,living in your head rent free
10,ilysm (i love you scillian murphy)
11,tom hardy????
12,me: i love this gay/lesbian solidarity !!!
13,me with my blu ray copy of inception already in my hand: okay im ready
14,me: WHAT DOES THIS MEAN???? IS HE DREAMING???? DID HE NOT WAKE UP????? WHAT IS THE TRUTH?????? I NEED ANSWERS!!!!!!!!! I CAN'T LIVE LIKE THIS!!!!!!
15,"if christopher nolan ever needs a script for the sequel, my arthur/eames fanfic is ready to go"
16,I tried watching this movie with my dad but he just got mad and left because I wouldn't stop singing the score
17,eames: whom the fuck
18,explaining the rules of the dream world to Ellen Page.
19,jgl sexy
20,"this is what dreams of dreams of dreams of dreams are made of, hey now!!"
21,.
22,snap back to reality
23,way too hot
24,My mom told me not to trust people that don't like this movie.
25,i just cant get you out of my head
26,The fact that 'The King's Speech' won Best Picture over this is laughable.
27,(!!!) UGH I ALWAYS FORGET JUST HOW TRULY EXCELLENT IT IS I'M A SOBBING MESS RIGHT NOW
28,I just think it's really neat.
29,"redeems the action genre by misdirecting from its formulaic bore and still holding up as one of the best of its kind, ten years later. I forgot how unique Christopher Nolan is as a director despite his massive accessibility. His creative talent and ambitious filmmaking are what make his films such an incredible experience to watch in theaters. The Hans Zimmer scores never get old, as well."
30,finally watched inception
31,"My guy Saito makes one phone call and gets a murder charge dropped? Yeah, Leo was definitely dreaming"
32,what I mean: tom hardy is really hot in this movie
33,i think about that a lot
34,"The relationship between dreaming and movies, lucid dreaming and filmmaking. Pretty remarkable and increasingly difficult to not admire in retrospect - how did someone conceive of a cross between Marienbad and James Bond? Also perhaps emphasis on the retrospect - it's hard to imagine a film like this being made in the hyper-corporate climate of studio filmmaking today, and even sadder to realize that this was only nine years ago."
35,I would absolutely love to finish a christopher nolan film without having to go on wikipedia immediately after
36,"Hans Zimmer's ""Time"" is one of the best things ever."
37,again... enjoyed both films alot.
38,"Can someone please stick a needle in me and let me slip into limbo, cause I wanna go build my dream castle"
39,"fellas, is it gay?"
40,simulated catharsis is still catharsis.
41,"academy voters be like ""was really confused when i saw 'written & directed by christopher nolan' at the end....... ur telling me this WASNT little women?? those timelines could've fooled me!"""
42,"Watching this trash film was a toil, and I don't wish to waste additional time writing criticism on it. I will, however, draw attention to DiCaprio's spectacular hair, which is not in any way boring, disjointed, or derivative, or lacking in character development, or a mishmash of Nolan nonsense interspersed with gratuitous violence and gunplay."
43,being stuck in limbo with leonardo dicaprio doesn't seem like a bad idea to me
44,"(the notorious b.i.g. voice) IT WAS ALL A DREAM, CHRISTOPHER NOLAN IS THE MOTHERFUCKING SUPREME"
45,this fr gay as hell
46,"So epic it hurts. I'm willing to gloss over the few plot questions it leaves and just be enveloped by the killer combo of Nolan & Zimmer (whose soundtrack, incidentally, makes *everything* feel epic if you put it on loud enough)."
47,"Edit: one of my favorite endings ever, especially with the score."
48,tom hardy and joseph gordon-levitt... they are FUCKING each other
49,Music by Hans Zimmer. Directed and written by Christopher Nolan. All the actors smashed their rolls. Everything I need
50,"The camera focuses in on Arthur and Eames, over the directors commentary we hear Christopher Nolan speak. ""Two guys chilling in a dream world, five feet apart 'cause they're not gay."""
51,my last brain cell is overheating like my macbook when I play poptropica for too long!!! I still cannot look at a top spinner the same!!!!
52,what is limbo but beach that makes you old
53,The real cobb is nolan and The real inception is happened to us
54,have the brains to create such astonishing satire?
55,"""Edward E. Nigma......Enigma....."""
56,to rewatch
57,I don't know what film those people who call this masterpiece overrated saw but this film definitely gets better the more you rewatch it and watching it with people who haven't seen it before is even better
58,For a tenth anniversary piece. Still just rocks in terms of propulsion. It never stops moving.
59,What about you guys ?
60,www.larsenonfilm.com/inception
61,I need to see Tenet!
62,my hair is not only falling out due to the stress of watching this but also the fact we still haven't had an ellen page/nolan collab since this
63,"is that truly rare, intelligent summer blockbuster packed with ideas and concepts to keep the audience contemplating long after the credits. My favorite Nolan film."
64,Overall Rating: A+
65,nolan be casting his movies like: yeah this should make em horny. drop it
66,what the he-fuck is going on???
67,Yeah.
68,"Yes, it's as good as everyone says. I really wish I saw it in theaters. I wish more blockbusters were like this. Can't wait for Tenet now. The cast has no business being this fine. Thank you for everything, Cillian Murphy."
69,"me, deciding which film to put on while i try to nap on the plane: i'm gonna get real meta with it"
70,arthur: eames this is verbal conversation
71,Christopher Nolan Ranked
72,executive produced by emma thomas (his wife)
73,ending shot had me and dad up off the couch screaming about whether it would topple or not
74,ba dum tss
75,ps ily cillian murphy you're so pretty and i wish i could kiss u and feel your soft skin and play with your silky hair... god im lonely and needy
76,My aunt carol died this morning
77,electric chair [slams gavel]
78,.
79,nolan: yes
80,is Christopher Nolan secretly an employee for pharmaceutical companies because I always seem to get headaches from watching his films
81,Christopher Nolan planted an idea in my mind. that I would love this movie. and I did!
82,So i was ten years old and i decided to watched this movie instead of despicable me iconic
83,"Remember when yusuf flipped the van and then looked back to his passengers and said ""yall see that? hah- oh yea they're asleep, how could they possibly have seen it? Idiot. Once again you have embarrassed yourself in front of the audience, yusuf."" --? Mr. Bean shit."
84,just like cobb I too have marion cotillard living in my head rent free
85,"Ok, this is quite a smart movie for it's mamuschka concept. But the emotional impact is beyond zero. There are massive action sequences, but you just don't care for anybody in the movie - which sadly makes it pretty uninteresting to watch."
86,"mostly had it on as background noise while i read arthur/eames fanfiction from 2010 but it's my letterboxd and i get to choose what counts as ""watching a film"""
87,It's quite excellent!
88,i relate to dom cobb because if marion cotillard was my wife and i lost her id also be so depressed that i could barely emote
89,RTX off: Tenet
90,HERE
91,"I, too, dream about Cillian Murphy"
92,the sexual tension between joseph gordon-levitt and tom hardy is stronger and more powerful than a dream within a dream within a dream
93,every day i argue with myself over if this is the stupidest easiest simplest score ever written and how that might actually make it genius
94,"Now, I can hear the dramatic symphony music playing so I should wake up any seco-"
95,"As far as directing the film is concerned, each of its elements cinematography, special effects, sound, score, editing and acting are masterfully achieved."
96,Inception is one of the greatest serve in the history of film no one can change my mind
97,my dad won't speak to me now bc i sang along to the score for the entire duration of the movie those BWAH BWAHHHHs r music 2 my ears
98,Mudkip.
99,"""I WANT A GODDAMN CLOCK!!!...if I had a clock...I would-fuck it..."" -Christopher Nolan probably"
100,Every night when I fall asleep the full duration of this film is streamed into my consciousness. When the movie ends (credits and all) I wake up. I was really confused until 2010 when this movie came out. Neat!
101,"Alright, bumping it up half a star because man the visuals and score of the film are amazing and so appealing. Even the muted colors pop and it's just a blast visually. Some gripes, especially with the script, probably are going to prevent it from getting a full five from me. Oh well."
102,"Total side note, that score was insanely good."
103,"Inception is a brilliant film. Christopher Nolan twists our minds in millions of pieces with this complex film. He knows how to combine true spectacular direction, with symbolic concepts about our perception of reality as how we can trap ourselves in lives and ideas that don't necessarily reflect the reality. Leonardo DiCaprio does a fantastic job. The ""dream world"" dream within' a dream moments and the theory of time slowing are fun mind puzzles to unravel. The action is well paced and suspenseful. The music score and settings all flow together well. Overall, Inception is excellent."
104,"Damn, they must be so well rested."
105,"with a hint of actual intelligence must admit that Inception is, in fact, pretty fucking great."
106,congrats to the first film here to reach 1M!
107,so many thoughts head full
108,BWUUUUUUUUUUUUUUUUHHHHHHHHHHHHHH
109,", man?! This week isn't soon enough. A few hours from right now would be more ideal. Like, it would be great if I could just sleep for a few hours and then wake up in the theater as Nolan's latest is beginning. Is that so much to ask?? This goddamn wait feels as if I've been stuck in limbo for 50 years myself. What the shit."
110,Bravo Nolan!
111,"arthur, stacking people on top of each other, tying them together and blowing up a lift to give them the kick: sorry i can't hear you"
112,boy am i ever waiting for a train
113,The Oscar Rewind podcast link
114,And DiCaprio deserves his own franchise at this point.... dude is so good in this.... so is the whole cast
115,10/10
116,leonardo dickaprio out here sleeping on the job smh
117,"I'm sorry I missed your birthday yesterday, Inception, you'll have to forgive me considering the amount of times I've watched you already. We have an understanding, me and you. An arrangement. Honour it. Or you'll become an old man, filled with regret, waiting to die alone."
118,Christopher Nolan: *shoots me in the face*
119,sleep is cool
120,Christopher Nolan Ranked
121,- INCEPTION ON THE BIG SCREEN?!?!?:):!:!:
122,joseph gordon-levitt i am in love with you
123,"Through Inception, Christopher Nolan takes us to explore everything that is achievable in cinema, and beyond."
124,This remains the only Tom Hardy performance where I can understand 100% of his dialogue.
125,There is no longer solution.
126,Everyone wish inception a happy birthday
127,robert fischer please let me hold you and kiss you and take care of you
128,(This gets better with every watch)
129,watching this at 1:30 in the morning hits different
130,tom hardy arriving to inception set: i am going to create an environment that is so homoerotic
131,"It tracks that Nolan, just a few years older than me, probably really dug A View to a Kill and it's epic ski scene."
132,jgl hot
133,"do you reckon anyone's told christopher nolan about the arthur/eames phenomenon yet?? and if not, can i be the one to break into his house in the middle of the night and start reading out a coffee shop au while he looks on, presumably enraptured"
134,) being in your four favorites is without a doubt the biggest red flag there is
135,twitter.com/responsiblerob/status/1295946276966522882?s=21
136,You know what? Maybe the filmbros were on to something.
