,Comments
0,Sometimes you just gotta ruin your life to own the other guy so hard
1,when the prank war just goes too damn far :(
2,"Second unexpected Radiohead in the credits moment THIS WEEK, i need a break"
3,"Forget ""The Dark Knight"". Forget ""The Dark Knight Rises"". Forget even ""Inception"". This film matches the levels of greatness that ""Memento"", my favorite Nolan film, manages to reach, and it does it without telling the story backwards. This is dark, mysterious, captivating, intelligent, and is easily one of Nolan's most under rated films so far."
4,nolan: *dj khaled voice* ANOTHER ONE!!!!
5,magic isn't real you idiots
6,white male gets tricked into thinking
7,me: shook
8,they should remake this movie with danny mcbride and walton goggins
9,christian bale be like: how about a magic trick? i'm gonna make hugh jackman disappear
10,thank you christopher nolan for making me look like boo boo the fool once again
11,I'll be watching this again soon so I can review this properly and provide an in-depth analysis on the ending
12,when will hugh jackman make my virginity disappear
13,and i feel fine cause i got a nemesis
14,"did you really watch a chris nolan film for the first time if you didn't look up ""[christopher nolan film] ending explained"" immediately afterwards?"
15,IM GONNA NEED ALL THOSE HATS TO COVER MY BURNT WIGLESS SCALP
16,the Nolan Manifesto.
17,christian bale can abracadabra into my bed!
18,FUCK
19,due to the glass house I live in.
20,ABRACADABRA!!!!!!!!!!!!!!! I JUST!!!! NOLAN YOU GENIUS!!!!!!!
21,One of the greatest films I've ever seen. Period. It's Nolan's best by far. I'm so in shock by how exhilarating and delightful it was that I can't even organize my thoughts.
22,it's gay as fuck to be rivals... why are you so obsessed with another man?
23,hugh: FUCK!!!!
24,i was watching closely and here's what i saw - angier and borden were most definitely gay and were most definitely almost always making out before they became enemies and had to repress their secret gay feelings for each other
25,I miss when you could understand what the characters in a Christopher Nolan film are saying
26,"when it comes to magic, that Hugh Jackman sure can put on a huge act, man"
27,"is the biggest magic trick ever performed, and Christopher Nolan is the most brilliant magician the world has ever seen."
28,Directors love magic tricks. Me too.
29,Blink and you miss a detail.
30,"I swear, this film somehow keeps getting better and better every time I watch it!"
31,the prestige 2006: *loud coughing*
32,"oh, so that's what happened to prankvsprank"
33,"My favorite Nolan film to date and that's a hard thing to say when he has titans like Interstellar, Inception, Memento and The Dark Knight under his belt."
34,Hugh Jackman and Christian Bale are both amazing in their roles. Micheal Caine and Scarlett Johansson are also great in their supporting roles. Even David Bowie is great as Tesla.
35,Hugh Jackman and Christian Bale get into an extreme dick-measuring contest to find out who's the better magician!
36,Pacific Design Center
37,Undeniably the best Nolan film.
38,"Twists made right, so many clues. Nolan's best movie so far."
39,ngl to you all i am very drunk but this is the greatest film of all time don't even try and deny it ffs... i love hugh jackman with all my heart... what a pure soul...
40,"This is one of that rare movies that just improves each time you see it. Even when all the secrets are known, there is still immense pleasure in watching everything play out. Are you watching closely?"
41,the superior movie in which hugh jackman's character is frequently referred to as a showman
42,"A little overlong but also extremely satisfying once it gets to it - truly the first instance of Jackman being recognised as the one greatest showman, and some properly ballsy stuff on ***toxic masculinity***, narcissism, jealousy, sacrifice, power. Good!"
43,"scarjo's english accent sounds like she learned it from those teens on tiktok who make ""it's chewsday innit"" videos"
44,"''Now you're looking for the secret. But you won't find it, because of course, you're not really looking. You don't really want to work it out. You want to be fooled.''"
45,https://t.co/2Nq1muJVqP
46,9/10
47,DID THIS PRANK WAR GO TOO FAR??!! *SHOCKING*
48,Vicky Cristina Tesla
49,Fucking INSANE.
50,Christopher Nolan Movie Rankings
51,Aaaaaaaaaaaaaaaaaaawaawaq
52,THIS is Nolan's best movie.
53,.
54,honestly i'm pretty sure every christopher nolan movie i've seen has left me with my jaw on the flaw and going 'OH MY GOD' even on rewatches
55,"Unlike a lot of the other films he's made this one actually got better this time around. So engaging, so duplicitous, genuinely such a masterful piece of work."
56,www.larsenonfilm.com/prestige-the
57,life is very unpredictable i could never guess that yesterday was my last day hating magicians
58,Why didn't I watch this 6 years ago?
59,A
60,I recommend watching it multiple times.
61,is a viscerally engaging piece of work that never stops challenging the audience. Truly an incredible masterpiece.
62,edison & tesla are JUST LIKE angier & bordern woah
63,", that's for sure. Gullible and naive me saw absolutely nothing coming. And now that I think about it, I should have seen it coming."
64,this is like cady vs regina george but magician edition
65,this was a total headfuck of a film. so many well executed twists and turns throughout it. criminally underrated compared to his other films and was brilliantly done.
66,"The more I watch this movie, the more I increasingly love, appreciate and continue to be amazed by the amazing talents of Christopher Nolan."
67,"Dark, gripping, cleverly crafted, and delivering hard on twists and turns, The Prestige is one of the more underrated and overlooked efforts from acclaimed filmmaker Christopher Nolan, with great performances, a smart script, engrossing visuals, and a brooding, mystical atmosphere."
68,was skeptical but it delivered and left me craving answers. nice metaphor Chris... I tip my olde thyme top hat to ye
69,Vote if you can
70,Also i NEED to see dunkirk at some point it's getting ridiculous
71,revenge is a dish best served convoluted.
72,rlly beginning to think that christopher nolan is becoming one of my favorite directors
73,"This is Nolan's world, and we are just not marrying in it."
74,Nolan: TWO Christian Bales!
75,the REAL greatest showman
76,Wow. I'd like to issue a formal apology to myself for not watching this film sooner. Amazing!
