,Users,Comments
0,maddie,i think i need to pay attention to really understand this movie but i have failed twice now. i can tell you two things: cillian murphy looked hot and hans zimmer is fucking incredible
1,Ibuprofen,Toxic relationships truly follow you everywhere.
2,astuc18,Nolan fanboy bias
3,yagamemes,"so based, only saw it like 6 months ago and loved it so much"
4,Alex,"I think this is Nolan's strongest film, balancing both a difficult, complex science fiction concept and developing a poignant tale of loss and forgiveness. My favorite interpretation of this movie is that Mal is a ghost, haunting Dom from dream to dream, and he can't even escape into another person's mind."
5,Claire,Hans Zimmer>>>>
6,Snachoo,wacky
7,amber,joseph gordon-levitt
8,Sophia G,"deep as a shallow end of the pool, but the shallow end is fun"
9,GeorgeAmmerlaan,I bloody love the music by Hans Zimmer
10,abbylogsdon,this movie will always be a staple of mine. also cillian murphy? enough said.
11,wendelsic,mano kkkkk
12,Yavuz Selim Çakır,Everything is so perfect in this movie. Masterpiece.
13,searchers97,I finally saw it. I like the hotel hallway shot. I like to think about it every now and then because of how well choreographed it is
14,mariana,"i'm still trying to decide if i'd like someone to decide to infiltrate my own subconscious. but i know if the person were tom hardy, obviously the answer is YES."
15,Tuçe Sarı,Bu ekiple her ruyaya dalarim.
16,Ini,YUP. Instant favorite.
17,Georgia,"everyone likes this movie, it's too fucking long for me."
18,owengroves,Class
19,hilda rosell,i use this movie as tinder
20,Dylan Hrivnak,This would make a great Call of Duty.
21,blimeyslimey,Is this a dream? Is this a dream? Is this a dream? THEN WHAT IS A DREAM
22,moviecee,Good but Long. Not a good rewatch candidate.
23,Ingat guys,Ingat guys
24,Maddie,The cinematography was fucking beautiful holy shit
25,nealgoogs,Confusing first time around. But made sense second time.
26,J,a lot easier to understand than i thought
27,Vago_Aprecio,Normalmente no me gustan los finales abiertos pero este en particular termina siendo genial.
28,Junorune,Cool ass film
29,lu,eames and arthur my favorite boyfriends <3
30,valocity,dream heist!!!!!! didn't give a shit about cobb though I hope he gets better soon
31,Jamespayne61,Incredible
32,BamBoozled123,"Nolan at his most comfortable. From visuals to story, this is the definition of a modern sci-fi masterpiece."
33,🪐,tom hardy and cillian murphy in a movie together? you have my complete attention
34,v,what the fuck
35,Fractals,100 / 100
36,Ashwin,A Kick!!
37,JackJ1234,"This may be my favorite Nolan film of all time. The cast is incredible, the story is great, and Zimmer has yet again out done himself on the score. Just a masterpiece of a film."
38,Liam Crawford,"Folding streets, a spinning corridor, messing with time and dreams, Nolan, DiCaprio, Zimmer. C'mon this is a five star film."
39,247,"A perfect movie. ""Figure it out yourself"" endings are the worst, normally. But it was perfect for this movie. Time travel is usually the worst, but this movie did it perfectly."
40,Travis Bickle,Cool movie.
41,emmy,"good film, figured it out easy tho"
42,kubredi,Really fun film. You do have to kinda glaze over certain aspects and rules to truly enjoy it though. Cillian Murphy is amazing
43,anj (づ｡◕‿‿◕｡)づ,usto q rin managinip kasama c crush xd
44,reinb0wdaschw4g,i dont understand like 20% of this movie but i do know that this is one of the best concepts for a movie ever
45,L,good soup
46,sierrabasco,Joseph mf Gordon-levitt
47,Jericho,"masterpiece, the plot is unique, Christoper Nolan is one of the best directors out there, Leo is such a great actor, he never dissapoints with his film choices, my only regret is that i never got to see this movie in theaters"
48,movielistvalee,Also is the amazing Leonardo DiCaprio here soooo
49,rowan,this shit sucks
50,LJF25911,Loved this movie definitely one of my favourites
51,Richard Díaz,I feel like this movie just gets better with time.
52,GBob,"Not my sort of thing, it was ok."
