,Rating,Comments
0,★★★★,hans zimmer: TICK TOCK MOTHERFUCKER
1,★★★,"so thank you, harry styles."
2,★★★,chris nolan: actually can I have 100 more of these dark-haired british twinks?
3,★★★★★,harry styles and the mysterious ticking noise
4,★★★★,its ok christopher you can admit you just wanted harry styles running around a beach with 3 other white teenagers to recreate your world war 2 fanfiction of the thats what makes you beautiful video
5,★★★,"i thought i got away with watching this on my laptop instead of imax but as soon as the credits started rolling, christopher nolan physically manifested in my room and started poking me in the left eye while yelling about the sanctity of the theatrical experience"
6,★★★★★,shook
7,★★★★½,Me: OH MY FUCKING GOD
8,★★★★½,wow! my favorite part was *incomprehensible british mumbling*
9,★★★★★,harry ate the FUCK out of that toast!!!!!
10,★★★★,i didn't understand a damn word these white men were saying half the time but you know what ! masterpiece!!
11,★★,"The first 20 minutes or so is the best thing Nolan has ever accomplished. The rest is a formal experiment I find so meaningless, dull and empty that I felt completely alienated from everything on the screen."
12,★★★★★,"3rd time seeing this, 3rd time wishing i was dead, 3rd time crying."
13,★★★½,"While it does feel like a movie I should like because everyone else likes it, I still really like it. AMAZINGLY shot and great performances all around. I have nothing to say that hasn't already been said about it."
14,★★★★½,i am incredibly surprised by my ability to spot harry styles in a crowd of white men
15,★★★★½,tick tick tick tick tick tick tick tick
16,★★★★½,"damn, great scene."
17,★★★★,The theatrical experience is officially DEAD.
18,★★★★★,"filmed in glorious 70mm, with 'dunkirk,' christopher nolan shows us distinctly just how tiny kenneth branagh's lips are"
19,★★,"After an hour and a half I was like, ""This is the longest trailer I've ever seen."""
20,★★★★½,the new three act.
21,★★★½,"((Plus the week really doesn't seem like a week, does it? More like two or three days. I'd suggest the structure is unnecessary were it not for Cillian Murphy's brief but superlatively disorienting appearance in ""The Mole.""))"
22,★★★★,harry was a bit of a prick wasn't he
23,Added by,I find it amusing that Nolan is so seemingly obsessed with time and yet does such a consistently poor job at depicting it.
24,★★★½,would love to understand one someday
25,★★★★★,click here to hear/see the gushing
26,★★★★½,"my dad only gave this four stars & when i asked him what caused that whole star subtraction he stared mistily into space for a minute before he said thoughtfully, ""the boats ... the boats were too clean. not enough shitboxes"" and ya know i can't fault him on that! your move chris"
27,★★★,imagine being a harry styles fan and being excited that your fave is gonna be in his first ever movie and it's a nolan movie at that and you go to the cinema after months of anticipation you buy your ticket and then it ends and you realize all your fave did was eat some bread
28,★★★½,.
29,★★★★,nolan knows that tom hardy's lips are the source of his power so ever since 2010 he's insisted on covering them up
30,★★★,fine lines
31,★★★★½,"I have mixed feelings about taking my WWII vet grandfather, who is in his 90s, to this. The visceral intensity was distressing for him, and he also was frustrated at having to watch a WWII movie about fleeing and failure. Of course this is also what I think makes the film brave and brilliant."
32,★★★★★,"in the middle my dad leaned in and asked me ""is that henry style"""
33,★★★★½,"(fucking amazing film, again)"
34,★★★★★,love the part where the beach twinks are hiding in the ship waiting for the tide to come in and then the ting go skrrra pap pap ka ka ka skibidi pap pap & a pu pu drrr boom SKIAA
35,★★★★½,"u know what im not even surprised my thirsty ass developed a crush on barry keoghan and his weird ass face, i sensed there was an underlying thirsty reason behind my sudden irrational desperate desire to watch dunkirk and when barry and his sleeveless gap sweater flashed on my laptop screen at 1pm on this fated thursday afternoon I Knew"
36,★★★★½,.
37,★★★★,"who knew nolan had something this stripped down and elemental in him? ""old bloke wouldn't even look us in the eye."""
38,★★★★,the sweaters in this are so on point it's kind of like a really intense J Crew ad
39,★★★★½,knows how to do is immerse you into his films giving you the full theater experience no matter where your watching it.
40,★½,", home is where the heart is. Maybe by the time Nolan makes his space western, the truth will set him free."
41,★★★½,"oh, whoa, whoa-oh"
42,★★★★★,"I honestly don't know what to say. Everything everybody said about this was right on the money. Gorgeous, grueling, tense, visceral, gut-wrenching, haunting, powerful, fucking loud. There's about 3 minutes of peace before the tension starts, and it does not let up at any point in the movie from then on. Every aspect of this movie was done so well, it's astounding. Absolutely see it in IMAX 70mm if you can."
43,★★★★½,: ...no
44,★★★★★,"I was going to make a joke about how pretty all those boys were but a film this good doesn't deserve that. This is incredible. Nolan's talent is unrivalled. I cannot put into words how good this was or how well it was made, just... wow"
45,★★★★½,the ideal way to see this is in IMAX but I almost went deaf just seeing it in regular theaters... Nolan trying to kill me... Also I can't believe it's 2017 and 1D is still getting my coins smh
46,★★★½,i watched this in imax while drinking a large tim hortons iced capp and i came VERY close to dying
47,½,"vain british chauvinism coupled with nolan's usual sweatshop approach to visual design. this is nothing more than an obtuse and literally deafening exercise in conservative revisionist history and bludgeoning the viewer into submission through sheer force of sound mixing. almost an immaterial narrative, there's nothing of emotional content here, it's a series of unremarkable vignettes that are all spectacularly boring in their own unique ways. nolan is the winston churchill of filmmaking: a stubborn fascist who's managed to bully his way into convincing people that he's a noble genius."
48,★★★★★,www.larsenonfilm.com/dunkirk
49,★★★★★,"i don't even know what to say, this is a masterpiece y'all.....christopher nolan did THAT"
50,★★★★★,"Checked this out at my local IMAX theater. It really might be Christopher Nolan's masterpiece, at least from a technical standpoint. And it's also the one film that feels the least Nolan-like. The Hans Zimmer score is intense as hell. And the dogfight scenes with the spitfire planes are absolutely exhilarating and breathtaking. It's a gorgeous looking war film that ranks as one of the best contemporary WW2 films along with Saving Private Ryan and The Thin Red Line."
51,★★★★★,my heart was beating at 300 bpm for 100 minutes
52,★★★★,"were the casting requirements for everyone in this movie just ""have a good facial bone structure"""
53,★★★★½,Watched again because Harry Styles
54,★★★★★,"""No more questions Shivering Soldier"""
55,★★★★,"Telling the story from a numbers of different perspectives and yet not confusing are really astonishing. Nolan does an incredible job of making a war movie without any blood, we never see a German, and dialogue is at a minimum. Instead, cinematography and color are magical. Hans Zimmer's excellent soundtrack, creates a tense atmosphere where time feels like it's running out. Great cast. Also who would know Harry Styles could actually act. I wanted a little more of an emotional payoff, but this is a solid film and is well worth your time."
56,★★★★,I searched for quotes from this movie to use in this review but all that came up were lines of inaudible mumbling and whispering
57,★★★★,1d stans: heres how harry styles can still win best actor
58,★★★★★,"When a film gives you so many goosebumps and makes your heart beat so many times that you cannot keep count, you know you are in a ride for something masterfully intense. Great to see you back in action, Nolan."
59,★★★,Beautiful film.
60,Watched by,. Not a hater; not a fan.
61,★★★★★,me rolling off my bed and slamming onto the ground every time the soldiers leap off the sinking boats into the water: YOU JUMP I JUMP
62,★★★★½,christopher nolan said actually can i have 1000 more of those little brunette bitches
63,★★★★★,imax more like diemax amirite folks
64,★★★★,https://t.co/0KGMy1Dbtx
65,★★★★★,"Much, much more on this later."
66,Watched by,unprecedented to watch
67,★★★★½,is an amazing war film.
68,★★★★½,ohthatfilmblog.com/2017/07/24/dunkirk-2017/
69,★★★,"who's gonna tell christopher nolan that his serious war movie was a little less intense due to the fact that he cast a group of men that all look like harry styles, one of which is the actual harry styles."
70,★★★★½,"me, lying awake in bed in the middle of the night, on the verge of a panic attack: tick tock....................."
71,★★★★★,"Yours sincerely, the defender and protector of the shivering soldier."
72,★★★★,80
73,★★★½,"I get that they're British, but 80% of all civilian/nurse dialogue is basically: ""can I get you a cup of tea?"""
74,★★★★★,"I'd love to know why, of all people, Harry Styles was put in this movie. I'm not complaining, I'm just curious as to why."
75,★★★★★,Original review video here
76,★★★★★,Original review video here
77,★★★★★,Dunkirk is a masterpiece.
78,★★★★★,did hans zimmer ticking make me anxious or was i anxious before i started the film?
79,★★★★,A terrifying account of when soldiers are completely cut off from all avenues of escape and have no choice but to go in one direction.
80,★★★★½,Christopher Nolan really knows how to make an amazing film.
81,★★★★,harry styles i love your work
82,★★★★½,me whenever Farrier does anything: That's one hell of a pilot!
83,★★★★★,Christopher Nolan just made a Terrance Malick film and I loved every second of it.
84,★★★★,"christopher nolan's camera/cillian murphy's eyes. 100k. mutual pining, soulmates, friends to lovers"
85,★★★½,there are 40 thousand british twinks with jawlines and thick english mumbles that this shit just became a gay film! thank you daddy nolan !!
86,★★★★★,"A thunderous, awe-inspiring symphony of intense, visceral filmmaking, Dunkirk makes for an impeccably structured, terrifically acted, thoroughly engrossing experience that only Christopher Nolan could deliver."
87,★★★½,cillian murphy as the shivering soldier we love to see that
88,Rewatched by,is the definition of remaining unbothered
89,★★★★★,"GLIDE, PLANE BOY, GLIDE"
90,★★★★,so yeah this lives up to the hype! and harry styles is great in this who knew he could act?
91,★★★★,"I was pretty drunk watching this film, but it seemed dope."
92,★★★★★,I have lost faith in humanity
93,Watched by,me: exhales
94,★★★½,"If you're planning to see this, go see it in 70mm."
95,★★★,"i remember when this came out and a friend of mine was going to see it and i told him not to tell me any spoilers and then suddenly hours after the fact, i had realized i had fucked up"
96,★★★★★,5/5
97,Watched by,IMAX film at Universal City Walk
98,★★★★★,It's gonna win a BUNCH of awards.
99,★★★★½,This could easily end up being my most rewatched film of the year.
100,★★★★★,again i'm speechless. CN has done it again. i really can't say anything apart from this is the best war film i've ever seen and i've never experienced anxiety and tension in a film before like this.
101,★★★★½,for a dollar name a woman
102,★★½,I Wish I Was At Home Watching The Thin Red Line
103,★★★★★,is a god of making haunting and blood-curdling scores .
104,★★★½,"This is shot so well, wow. But that's about it. Still a great time!"
105,★★★★,"Little more than a mid-length experiment in cross-cutting as Hollywood blockbuster, and very fun to study just for that purpose."
106,★★★★★,"Dunkirk is a cinematically brilliant and a storytelling wonder. The actualization of the gritty aspecrs of war, along with the intense emotions gripping each soldier involved is one to behold. Those who are familiar with the history of the evacuation of the British army from the French beaches of Dunkirk in 1940 may have seen the past dry/unremarkable film and documentary versions recounting this event. The film is a complete 180 degree turn in both the visual and very intense soundtrack experience by Hans Zimmer. Overall, Christopher Nolan proves to us again of his versatility while still retaining his masterful touch."
107,★★★★★,perfect in every sense of the word !!! this film truly owns me and my weak heart ... wow i love feeling every emotion possible and being unable to breathe for 107 minutes !!!
108,★★★★★,Me (Wiping my tears) : I Know...
109,★★★★,I like the idea of a ship named Mimosa in a war
110,★★★★★,.
111,★★★★★,"Christopher Nolan, 75th Annual Golden Globe Awards, year of our Lord (Nolan himself) 2018."
112,★★★★,"While I wasn't completely blown away by the story, Dunkirk was still very affective in establishing its tone and transporting you into the war zone. The film wasn't completely memorable, but it had enough shocking images and tense conflicts to make Christopher Nolan's war epic a powerful experience."
113,★★★★,christopher nolan i watched this on my laptop please forgive me
114,★★★★,"y'all know that vine of that dude folding clothes and singing ""you better watch out you better watch out YOU BETTER WATCH OUT"" with more and more intensity? this is the 106 minute version of that. I feel like I just had 20 panic attacks in a row. thanks hans zimmer."
115,★★★★½,Chapeau for Christopher Nolan. Always a warranty.
116,★★★★,Stunningly visceral and masterfully crafted.
117,★★★★★,hans zimmer better be ready to pay for my gotdamn therapy sessions
118,★★★★,when harry styles wins his academy award...then you will see
119,★★★★★,That feel when you think you love a movie because it's about history and has non-linear story-telling but over time you realize it's more because of how it heavily relates to and relies on the need to care about and help other people even if you don't know them because with so much bad stuff happening in the world it's impossible to survive without the kindness of other people!!!!
120,★★★★½,"Also, I finally finished all the Best Picture Nominees of 2017!"
121,★★★★★,makes him tear up.
122,Watched by,"Good movie but damn tone it down, Hans."
123,Watched by,"i fell asleep and woke up and pointed to harry styles and some other guy and went ""THEY'RE BAD GUYS!"""
124,★★★★★,"Four dimensions: Height, Width, Depth, and Time. Four elements: Earth, Air, Fire, Water. One goal: Survival. The enemy has no face, but makes its intention known: Death. On one side, we are all driven by our individual impulses. On another, we show community and selflessness. Even though the nature of existence is constantly being threatened, hope still lingers. A miracle can save us, so just hang in there. Home is within your grasp."
125,★★★★,really wish I could understand people with British accents
126,★,"Hey, Nolan please stop making films."
127,★★★★½,"Christopher Nolan's Dunkirk, recreates the full story of the retreat. Rather than the usual eulogies of military and civilian unity against foreign enemies, he reveals the true relationship between war and everyone through three perspectives, one hour, one day and one week, in a panoramic interweaving of sea, land and air. It not only makes you see the history, but also brings you back to the beach of despair and death, and takes you through Dunkirk all over again."
128,★★★★½,THANKS CHRIS NOLAN AND HANS ZIMMER FOR MAKING ME HAVE 50 FUCKIN HEART ATTACKS IN THE MIDDLE OF THE CINEMA... I FELT LIKE I PERSONALLY WAS ABOUT TO BE SHOT AT ANY MOMENT TALK ABOUT FUCKING VISCERAL...
129,★★★★½,I feel like going in knowing about the actual circumstances of the battle will help a lot with expectations though.
130,★★★★★,Let it overwhelm you.
131,★★★★★,"My words are limited, which make me wanna see it again, but Dunkirk is one of the greatest achievements in directing and editing ever to grace the silver screen. 20 years from now, it'll be shown in film school."
132,★★★★½,"2 hours of me asking myself ""is that one harry styles?"""
133,★★★★★,someone please reassure me that Tom Hardy makes it safely out of german imprisonment after the end of the movie thank you
134,★★★½,omg i can't believe harry styles fought in world war ii
135,★★★★★,THE BEST WAR MOVIE EVER!
136,★★★★★,"i love MY best picture winner (the shape of water deserved to win too tho, and i am SO happy for gdt)"
137,★★★★★,"still completely blows me away, and i love this cast so fucking much"
