,Rating,Comments
0,★★★,A Christopher Nolan movie where people swear and have sex? This is madness
1,★★★,following on yt
2,★★★,Christopher Nolan Ranked
3,★★★★,"Short and sweet, twisty little film that shows a lot of that early Nolan love of non-linear. Lot's of ideas here that later become more solidified in Memento, but still holds it's own. Much like ""Pi"" the black and white makes the low budget feel a little more stylish."
4,★★,"what a surprise, a film made by christopher nolan would turn out to be mediocre bullshit"
5,★★★½,i was not expecting to like this anywhere near as much as i did. nolan really showed what he could do from the start.
6,★★★,Low Budget extravaganza.
7,★★★½,https://t.co/IUu4IrLXhm
8,★★★★★,That's saying a lot.
9,★★★,www.larsenonfilm.com/following
10,★★★,", Christopher Nolan embarked on his most ambitious effort yet...making me bored! And he certainly delivered...the man doesn't miss!"
11,★★★★,8/10
12,★★★,6.0 / 10
13,★★★,as if i needed more reason to not trust anyone!!!! thanks christopher nolan
14,★★½,)
15,★★★½,"This Nolan kid has got a lot of potential, I'm curious to see what he'll do next. Maybe he should hit up Hollywood and see if he'll get any luck there."
16,★★★,A mediocre movie? Directed by Christopher Nolan? No...
17,★★½,why is this on criterion lmao
18,★★★★½,90/100
19,★★★★,"For a low budget indie, Nolan showcases his skills as a director right off the bat. Such an Intriguing movie that should inspire future filmmakers for decades to come"
20,★★★½,so here we are.
21,★★★★½,"Overall, I very much enjoyed Following with a clever story and excellent performances. Cheerio!"
22,★★★,"may not be Christopher Nolan's most refined film, but it's surely one of his most unique."
23,★★★,"So cool to see this early Nolan film and realize how much he was able to build on these ideas and narrative style! It's not perfect by any means, but it's exactly what you would expect his first feature (film on just $6000!!) to be like."
24,★★★★,"Super easy to recommend, especially to Nolan fans who still haven't seen it."
25,★★★½,is a great caper stretched a little long despite its short length.
26,★★★,"It's exactly what you'd expect from 1) Nolan 2) as a first time director. It definitely works better looking back on his career, after works like Memento and The Prestige which really solidified Nolan in his twisty style so that when watching Following we appreciate it because it's Nolan even if it's not always great."
27,★★★★,Fantastic Debut from Nolan.
28,★★★★,Please return to your roots and make a small-scale mystery thriller again!
29,★★★★½,Score: 9/10
30,★★★½,literally every problem in this could have been avoided if they followed the golden rule of never trusting straight men
31,★★★★,remains internally consistent and relies on nothing more than good storytelling to deliver its knockout blow. An engrossing debut.
32,★½,"A vaguely interesting starter project totally blindsided by amateur writing. I promise this isn't interesting enough for exposition dumps, Chris. It's perhaps most interesting because of how many hats Nolan was wearing for the debut, giving it at least that spark that comes from one person realizing a concept. I'm shocked the average rating is as high as it is, more shocked this dull clunker is somehow in the Criterion Collection? Very strange!"
33,★★★,"thank you Nolum, very cool!"
34,★★★★,"OH, AND ONE MORE THING: you will meet another Family member from the Nolan branch."
35,★★★★,"Walau budgetnya minim, dan sinematografinya menggunakan konsep hitam putih, namun ketika dibuat oleh sutradara sekelas Christopher Nolan, tentunya hasilnya berkelas,dan jauh dari kata murahan."
36,★★★★,"Nolan's debut is a low budget neo noir with shades of Hitchcock. Some of his best known films have great plot twists,this movie has one which is hard to predict. There is an ambiguity to certain scenes which just makes it quite intriguing. A great start to a wonderful career."
37,★★½,Interesting concept that loses it's steam roughly 10 minutes in and never manages to catch back up again for the rest of the runtime
38,★★★,". It's pretty cool to see what Nolan can do with a small budget and such a short runtime. Some of the violent scenes are a bit silly and the acting isn't that good, but it's still a pretty well-written film that definitely wouldn't hurt to check out."
39,★★★★,I love this. such an interesting story and I love how it unravels.
40,★★★½,Nolan Ranked
41,★★★★,This was the only Nolan's film that I was missing.
42,★★★★,"Technical issues aside (although this is unsurprising given its $6,000 budget), Following is a compelling and extremely well-crafted dramatic neo-noir crime thriller that also serves as a strong directorial debut from writer and director Christopher Nolan."
43,★★★,worth a watch for film genealogists who like tracing an auteur's obsessions back to their... inception...
44,★★★,Queue The Plan by Travis Scott
45,★★★½,nolan never fails to astonish me
46,★★★½,Would recommend.
47,★★★,"Flawed on a technical level (some editing and choreography issues), and the acting isn't the greatest, but overall a good, promising directorial debut from Christopher Nolan. If this were the first Nolan movie I had watched, I would've been curious to see what he does next."
48,★★★½,"Definitely a bit slow at points and the restrained budget does hold Nolan back from making something truly special, but this is still a solid debut that is way better than it has any right to be. It has an interesting premise as well as solid performances and solid direction from Nolan. It's nothing substantial but it does show hints of Nolan's greatness that's to come."
49,★★★★,Thank you.
50,★★★½,Hmm... this Nolan kid's got potential. I wonder what he'll do next. He should try his luck at Hollywood
51,★★½,"But I appreciate the artistry and how well it's made for its budget. It's a film that shows promise but again, the leap between this and Nolan's sophomore effort is HUGE."
52,★★★½,Had plenty of potential but fell short in some areas.
53,★★★★,"4. Stalking is bad, kids."
54,★★★★½,This movie is a near masterpiece. I do not understand why it is so lowly rated. Maybe I'm just crazy.
55,★★★,completely tolerable proto-Nolan
56,Watched by,Beer: Brasserie Meteor Wendelinus Belgian Pale Ale - 4/5 (I can drink this all day)
57,★★★★,Ok this movie is actually underrated. We really get to see how nolan started all of his ideas in his movies and it's interesting to see them in this type of story. I like how it takes the crime genre and flips it on it's head at the end. The cinematography actually is decent as well as the performances yeah sure the violence is laughably bad but this movie is actually good.
58,Watched by,The Criterion Channel
59,★★★★½,"And with that, I've now seen every Christopher Nolan movie. I don't know what took me so long to finally watch this, because I've always known about it, but just never found the time to watch it. I have to say this movie is pretty amazing. Sure it's low budget, but it's pretty awesome. The performances are great and the writing in this movie takes it to a different level. The music was awesome too. Didn't sound like anything I had heard before. Everything great about Nolan is in this movie, so he really knew what he wanted even at his first feature."
60,★★★,I think the most interesting aspect of this is seeing the promise of what is to come later in his career.
61,★★★★,"If Christopher Nolan hadn't become CHRISTOPHER NOLAN, it'd be interesting to see how Following would be remembered. Right now, it's seen as the debut feature from a titan of blockbuster filmmaking, but on its own merits, its a brisk neo-noir that demonstrates the techniques and ideas that Nolan returns to time and again in this filmmaking (there's even a criminal/storyteller hybrid character named Cobb!). No one would says Following is Nolan's best feature, but I'd certainly say it's one of the better feature debuts of the last 50 years."
62,★★★★,Everyone has a box.
63,★★★★½,anyone who gives this less than four stars... who hurt you?
64,★★★½,"There isn't anything particularly groundbreaking or amazing about ""Following"", yet that's kind of primarily why it really works. Largely a self-contained, and personal thriller showcasing Nolan's strength in building suspense and storytelling. Certainly at about the bottom of his filmography, working with bigger budgets obviously gives a filmmaker like him a lot more room to work, but nevertheless it's a pretty thoroughly compelling noir."
65,★★★★,"(25/03/16: just minorly edited this review from last year, which seems to have pushed it back into the activity feed!)"
66,★★★½,in great quality :)
67,★★★,soon.
68,★★★,"It's intriguing and well-made, but that's about it. Like aunt theresa's lasagna"
69,★★★,"Christopher Nolan's directorial debut. It's short with a runtime of about an 1hr10m, but with a budget of a mere $6,000 it's actually well made and quite interesting."
70,★★★½,even more as a filmmaker.
71,★★★★,Based
72,★★½,People always say Nolan doesn't have a signature style but arguably the most interesting thing about watching his low budget debut feature in 2020 is seeing how much it already felt like a Christopher Nolan movie. It has all the quirks and tropes you've seen in bigger Nolan movies but now his friends act in it and it's shot in grainy 16mm black and white film. It's not a bad movie at all but I think it's only interesting in retrospect.
73,★★★½,"You Pick, I Watch."
74,★★★,podcast
75,★★★★,"4.25 stars, last of Christopher Nolan's films I had yet to seen. Gosh he's good."
76,★★★★,Nolan make a bad movie challenge
77,★★★,begins...
78,★★★½,7.4/10 (B).
79,★★★,"Also, very solid David Julyan score!"
80,★★★½,nolan characters named Cobb >>>
81,★★★★½,"Some of you guys out here are extremely critical of this film. Knowing that this is Nolan's first movie out of film school, it is extremely impressive and engaging. You can see Nolan really trying to find his writing style and breaking into these ideas of manipulating time to tell a story. It might not be explosive or enchanting like every single one of his films after this but it was made on a shoestring budget with a limited crew. From my experiences in film school, I would be genuinely shocked if someone could come right out of the gate making something this impressive."
82,★★★,"Christopher Nolan's first (and worst) theatrical film???? Well, you got start from somewhere."
83,★★★★,"the film does have its flaws, but the story itself, the structure and the cinematography make up for most of the issues (in my opinion)."
84,★★★★,"Undoubtedly, this movie in one of the highest quality low-budget movies you'll ever see."
85,★★★★,"An impressive debut for sure, gonna give it a rewatch soon. Really really really really REALLY rough around the edges, like really rough around the edges. But I really liked it."
86,★★★½,2020 First Watches Ranked
87,★★★½,"""You take it away... to show them what they had."""
88,★★★½,just mull over those numbers
89,★★★,"Like most Nolan films, my mind is all like ""Whhhaaaa?"" Unsurprisingly his debut is no exception."
90,★★★★,but packed into 70 minutes of semi vignettes of breaking an entering. I can completely appreciate a streamlined and concise film that stands out as a terrific calling card for a new auteur voice.
91,★★★★,"With the impending release of the Dark Knight Rises I thought I would revisit Christopher Nolan's back catalog. I had never seen this film before and was very impressed by it. Shot with virtually no budget and at friend/family's locations, the smart script and impressive direction stand out. An ingenious plot with twists and turns showcase what we came to expect from Nolan in the years ahead."
92,★★★★½,"Also, ironically, the name of the thief in this film is COBB, the name of the lead in Inception. Maybe this is a prequel to Inception; Cobb in his pre-dream stealing days?"
93,★★★,also notice the batman sticker on his front door...subtle & inconceivable nod to Nolan's future projects hmmmmmm
94,Watched by,exceptional directorial debut from nolan.
95,★★★½,.)
96,★★★★,8.4/10
97,Watched by,"With a production of no more than 50 dollars, Nolan introduces himself as a genius director with a genius movie"
98,★★★★,"Christopher Nolan's noirish thriller is an uncommonly polished and assured feature debut, highly clever textually and supremely accomplished technically. This ultra low-budget exercise marks the emergence of a significant directorial talent."
99,★★★,pretty good for a debut
100,★★★★,"With Following, Nolan shows the world his brand of neo-noir for the first time, in quite an impressive fashion and gives us a glimpse of what he is capable of."
101,★★★,is mind blowing.
102,★★★½,.
103,Watched by,My dude really loves him some non-linear storytelling.
104,★★★★,"-like score). Solid debut, all in all."
105,★★★★,"Wow, what a debut from Nolan. He defined his style right from the start. I love his non-linear movies (literally every single one) and Memento is a great follow up to this movie. It is cool that one door had Batman sign on like Nolan knew he will do Batman films."
106,★★½,I really enjoyed the opening fifteen minutes or so and then I gradually stopped FOLLOWING what was going on. Thank god Nolan learnt how to do non linearity properly
107,★★★,An interesting debut by Nolan and a great little case of neonoir. Glad that he never gave up messing with timelines.
108,★★★½,this was so cool and the ending twist was so good!!! nolan is such an intelligent filmmaker
109,★★★½,"well, christopher nolan sure has improved over the past 19 years...not that this was bad, but i didn't love it like i love nolan's other movies. this still had me shook though"
110,★★★½,fatpie42.livejournal.com/266588.html
111,★½,"Nolan is as far up his own ass in this as he is in Tenet, but at least characters swear profusely. The script thinks it's way cleverer than it really is, and the filmmaking is extremely inelegant (also like Tenet), but at least Following has the excuse of being a debut. Rough stuff and highly annoying, I'd take Memento over this any day of the week, as I'm sure most people would. Not awful, not good at all, I'm totally indifferent towards this."
112,★★★,A much more skewed following-to-burglary ratio than I expected
113,★★★½,"For such a small budget and for the first try in terms of an actual feature it's kinda impressive what this guy achieved with this. Actually This story reminds me of Hitchcock's Rope, in a good way."
114,★★½,Still better then Tenet
115,★★★½,Probably the single best panty fetish movie ever made - 7/10.
116,★★★,oh my god pack it up nolan
117,★★★½,"Nolan is an amazing director, and I get why a lot of people don't like his movies, but I personally love them and I'm so excited to see what he does now after Tenet"
118,★★★,3/5
119,★★★★,Big Hitchcock vibes but it was seriously lacking in sound and score during important scenes.
120,★★★,"Completed Nolan's filmography with his impressive directorial debut. You can already see some of his trademarks coming through. The 'action scenes' were clumsy, but what would you expect with a budget of $6000."
121,★★★,para ser una de Nolan
122,★★★★,"Christopher Nolan's first movie: an overture, to not only Memento, but to the wickedly brilliant mind of Christopher Nolan."
123,★★★★½,"As an aspiring filmmaker, it's so cool to see a film that proves an intriguing story makes a film, not visuals and camera quality. I definitely need to rewatch this."
124,★★★,Very boring up until the last 5 minutes. Is that enough to justify watching it? Probably not.
125,★★★½,"Outstanding work for Christopher Nolan's first feature film. Made on a budget of $6000 and filmed on weekends, this shows the beginning of a very talented and confident filmmaker. Following plants the seeds for Nolan's trademark non-linear storytelling."
126,★★★★,"It's a good working film because it's so independent of producers and studio bosses. It's well working because Nolan can do what he want with his low budget. This is the most ambitious Nolan film with the exception of Dunkirk. Many will disagree, but you can feel he has a passion with what he's doing, instead of just directing like the producers want him to. Sure it has it's flaws, but it's a great handwork and just as thought-provoking as Inception, if not more."
127,Watched by,"Hell yeah, 70 minutes."
128,★★★½,"The performances are strong and it actually has an interesting plot, save for the middle act which was a huge dip in quality."
129,★★★½,"An excellent display of the beginning of Christopher Nolan's trademark film style and technical skills, along with the troubled and complex characters that he is known for creating. [B-]"
130,★★★½,"is an interesting exploration into minimalist noir filmmaking. The cinematography and lighting are exquisite, both giving the film a claustrophobic atmosphere and a grim tone. Nolan shows both his talent and interest in non-linear storytelling, and for the most part it works. The only thing working against this film is its very short runtime, and an abrupt (though excellent) ending."
131,★★★½,"A wonderful piece of neo-noir. Nolan shows some skill in his debut. The story is simple: random happenstance that causes the main character's life to spiral out of control. The fractured screenplay that he used so brilliantly in Memento was put to good use here and probably served as a playing ground for that film; works quite brilliantly with the climax. The acting is adequate and plays into the feel of the film well. The music accentuates the film; quite subtle, but the main theme adds some nice intensity. Nolan shows attention to detail with his photography."
132,★★½,community theater nolan. oddly charming! kind of boring!
133,★★★½,Erstmal einen Nolan ballern.
134,★★★,I really prefer the old copy of Christopher Nolan than the new one
135,★★★½,7/10
136,★★½,poster and batman logo :)
137,★★★½,Accomplishes a lot with very little.
138,★★★½,Leave a comment and let me know what you-
139,★★★★,I'am seriously impressed. Wasn't expecting anything but Nolan really surprised me. Nice debut bruh
140,★★★½,GOOD
141,★★★½,And thus began the legendary career of one of the best filmmakers of the 21st Century
142,★★★½,"this movie cost 6,000$ to make, wow."
