,Rating,Comments
0,★★★½,could never happen to dunkaccino
1,★★★½,"The MTV Movie Awards should have created a ""best tired as hell performance"" category just for Al Pacino"
2,★★★★,oh mr nolan how very david fincher of you!
3,★★★★,I am very impressed by both Al Pacino and Robin Williams. Both of these gentlemen give great performances in this entertaining thriller! I didn't know Robin Williams had a performance like this in him. I'm surprised I hadn't seen this Nolan film sooner.
4,★★★,"""Can't sleep...clown'll eat me."" -- Al Pacino"
5,★★★★,Ugh yessss I love it when men do dumb things
6,★★★,"wildly engaging, painfully predictable"
7,★★★★,*Fingers crossed I love Interstellar on rewatch as much as I loved it the first time.
8,★★★,Look for the next installment in Oeuvre-view: Christopher Nolan on Friday's Filmspotting.
9,★★★½,Honestly wish and hope Christopher Nolan makes another movie like this
10,★★★★,8/10
11,★★★½,"I fell asleep twice during ""Insomnia"", which is pretty funny when I think about it."
12,★★★★½,is a really smart and riveting psychological drama. Nolan's most underrated film that really keeps your attention and keeps you on your toes.
13,★★★½,7.8 / 10
14,★★★½,"And yes, Pacino is great in this, but man, Robin Williams just elevates this film to a whole different level. For someone whose presence in films has often made my heart warm, he *really* made my skin crawl here. Goes to show just how much versatility he had as an actor. Rest in peace, man. You rocked."
15,★★★½,Insomnia
16,★★★½,what no sleep does to a mf
17,Watched by,"much like al pacino, I spent this movie wishing I could go to sleep"
18,★★★★,". Or ""The Three I's"", as I call them. An unofficial trilogy of Pacino Prestige. Coincidentally, Nolan also has a ""Three I's"" trilogy. These guys and their rare-title-letter classics."
19,★★★½,"I struggle to fault this film, yet it still manages to give me Insomnia"
20,★★★,"Still good though, entertaining throughout, Pachino killed it as always, Hillary Swank was also really good."
21,★★★★,This happens when you don't give Al Pacino that thing what he wants for like 6 straight days!
22,★★★★,79%
23,★★★★,Yes it can. Great thriller that deserves more praise.
24,★★★★,E) Hilary Swank is that girl.
25,★★★★,"Probably thought of as Nolan's weakest film, this is still a cut above most other thrillers. The acting is superb. Pacino is really good here (though the scars from Jack and Jill still haven't healed) and Williams gives one of his finest dramatic performances."
26,★★★★,Honestly wish Nolan had to be a gun for hire on a couple more thrillers before getting thrown into the Batman mix. Just one or two.
27,★★★★,"""This guy, he crossed the line and he didn't even blink. You don't come back from that."""
28,★★★½,.
29,★★★★½,I really enjoyed this film. This isn't like Nolan's usual work but it's strong. I like his subtle approach. All the acting is top notch especially from Pacino & Williams. I loved when they shared the screen together. My favorite aspect from this film is the script. I loved loved loved the story. Very unique & I wish I thought of it myself. I think this is an underrated film from Nolan's filmography.
30,★★★½,"Definitely the least Nolan that Nolan has ever Nolaned; I dug it! Worth watching for Pacino & Williams alone, otherwise a fairly standard crime thriller with a psychological edge & focus on character that I appreciated, plus some twisty turny stuff that was unpredictable & kept me engaged. Editing has its moments but kinda sucked throughout, & the end felt a little too neatly wrapped up. Still quite good; tense, great use of location, & another entry in the unintentional ACAB canon, which is always welcome."
31,★★½,Doesn't really feel like a Christopher Nolan film and not in a good way. Feels like a movie you would passively watch on cable and feels twice as long as it actually is.
32,★★★,the whole way through i couldn't stop thinking about the scenery
33,★★★,"A well crafted psychological detective thriller, which is a remake of a Norwegian movie of the same name. The performances of Al Pacino, Robin Williams and their scenes with each other, is the major highlight of the movie. Set in Alaska, the locations are visually pleasing and amplified even more with its beautiful cinematography. Though the psychological aspect is brilliantly handled, the narrative tension never hits the high it promises. Watch it for its brilliant execution and performances."
34,★★★★,A brilliantly crafted movie and a riveting watch.
35,★★★½,"Christopher Nolan made the world believe that a Batman could exist, but he will never convince anybody that Al Pacino has real hair."
36,★★★½,Can you get on the phone and call Pacino immediately for your next venture? Can't believe this was Michael Corleone's last great performance and easily the best thing about it along with the cinematography of Wally Pfister.Robin Williams is okay but i expected more! Having said that i still prefer the original version for unexplainable reasons.
37,★★★★,The film's strongest feature is the heated interplay between Al Pacino and Robin Williams.
38,★★★★,"Damn, what a great film. Like just honest to god what a great film. I love the dimensions they truly dive into with all the characters"
39,★★★★,"Al Pacino comes out swinging with a variation on his usual character, a flawed yet layered cop from LA with a vaguely southern accent and a sleeping problem. A game of Cat and Cat with Robin Williams makes this crime thriller tremendously watchable. Also directed by Chris Nolan so you know it's going look perfect."
40,★★★★,www.youtube.com/watch?v=BR621wTW_Ow
