,Rating,Comments
0,★★★★★,"If you do not like this movie, I do not like you."
1,★★★★★,the best superhero movie ever made. period
2,★★★★★,has no right to still be this good
3,Watched by,So cool the joker character
4,★★★★½,"I got really sick of hearing about this movie, it inspired a lot of bad trends, it has a ton of terrible friends, and there's some stuff in there that doesn't work. But you know what? On a whole it's exhilarating and riveting and contains like 800 great scenes."
5,★★★★★,"i'm here to say that heath ledger and only heath ledger is the joker, period."
6,★★★★★,"my friend said Heath was ""okay"" in this so who wants to sign a petition to send her to the north pole"
7,★★★★½,itself.
8,★★★★★,CHRISTOPHER NOLAN + HANS ZIMMER+ HEATH LEDGER+CHRISTIAN BALE= MASTERPIECE
9,★★★★★,so that's what really burned one side of harvey's face
10,★★★½,cryingggg the way harvey screams RACHEL is so funny every time
11,★★★★½,chris nolan: *sweating* UHHH
12,★★★★★,#harveydentisoverparty
13,★★★★★,say what you want about the joker but in this he both sanitised his hands AND wore face mask so i can definitely say he's more considerate than a lot of people
14,★★★★,"""That's not exactly what I meant when I said I wanted to inspire people."""
15,★★★★★,look i know this is a boring opinion but this movie rules and hans zimmer and james newton howard went that hard for US
16,★★★★★,i'm a fan of movies i like movies a lot
17,★★★★★,i can't believe jake gyllenhaal's Bean Ass converted heath ledger into the greatest actor of our time
18,★★★★★,"I remember when I went to see this in theaters with my father, I drank a large coke and around 110 minutes in I had to piss hardcore. I stood up and my father looks over and says ""sit down, you don't want to miss a second of this"". He was right obviously, but it was the closest I have ever been to pissing my pants at a movie."
19,★★★★½,what if there was no joker and the hospital just did that
20,★★★★★,a lot of homoerotic tension in this!
21,★★★★½,I don't think it would be.
22,★★★★★,boxd.it/1tga2d
23,★★★★★,Certainly does not dissappoint. I understand now why they called it a game-changer for superhero films.
24,★★★★½,"batman throws a dog off a building, pure cinematic excellence"
25,★★★★★,what. a. masterpiece.
26,★★★★★,Everything has been said
27,★★★★★,the very definition of poetic cinema is casting a man with one of the most defined dimples in history as a character named Harvey Dent
28,★★★★★,UGH I MISS HEATH SO MUCH
29,★★★★★,everyone in this movie is hot
30,★★★★,Rating: 75/100
31,★,"well-made bush era right-wing propaganda that has aged terribly. seriously, go watch this again and see just how awful bale is as batman, how the harvey dent sub-plot is crammed into the film's fourth act, and how boring the film is every time heath ledger isn't on screen"
32,★★★,Batman does some stuff. Joker does some stuff. Robin still trapped in closet.
