,Rating,Comments
0,★★★★½,Sometimes you just gotta ruin your life to own the other guy so hard
1,★★★★,when the prank war just goes too damn far :(
2,★★★★½,"Second unexpected Radiohead in the credits moment THIS WEEK, i need a break"
3,★★★★★,"Forget ""The Dark Knight"". Forget ""The Dark Knight Rises"". Forget even ""Inception"". This film matches the levels of greatness that ""Memento"", my favorite Nolan film, manages to reach, and it does it without telling the story backwards. This is dark, mysterious, captivating, intelligent, and is easily one of Nolan's most under rated films so far."
4,★★★★,nolan: *dj khaled voice* ANOTHER ONE!!!!
5,★★★★½,magic isn't real you idiots
6,★½,white male gets tricked into thinking
7,★★★★★,me: shook
8,Rewatched by,they should remake this movie with danny mcbride and walton goggins
9,★★★★½,christian bale be like: how about a magic trick? i'm gonna make hugh jackman disappear
10,★★★★½,thank you christopher nolan for making me look like boo boo the fool once again
11,★★★½,when will hugh jackman make my virginity disappear
12,★★★★½,I'll be watching this again soon so I can review this properly and provide an in-depth analysis on the ending
13,★★★½,and i feel fine cause i got a nemesis
14,★★★½,"did you really watch a chris nolan film for the first time if you didn't look up ""[christopher nolan film] ending explained"" immediately afterwards?"
15,★★★★½,christian bale can abracadabra into my bed!
16,★★★★★,IM GONNA NEED ALL THOSE HATS TO COVER MY BURNT WIGLESS SCALP
17,★★★★½,the Nolan Manifesto.
18,★★★★★,FUCK
19,Watched by,due to the glass house I live in.
20,★★★½,it's gay as fuck to be rivals... why are you so obsessed with another man?
21,★★★★½,ABRACADABRA!!!!!!!!!!!!!!! I JUST!!!! NOLAN YOU GENIUS!!!!!!!
22,★★★★★,One of the greatest films I've ever seen. Period. It's Nolan's best by far. I'm so in shock by how exhilarating and delightful it was that I can't even organize my thoughts.
23,★★★★½,hugh: FUCK!!!!
24,★★★★,i was watching closely and here's what i saw - angier and borden were most definitely gay and were most definitely almost always making out before they became enemies and had to repress their secret gay feelings for each other
25,★★★★½,and see how far that takes him in his career
26,★★★★½,I miss when you could understand what the characters in a Christopher Nolan film are saying
27,★★★★,"when it comes to magic, that Hugh Jackman sure can put on a huge act, man"
28,★★★★★,"is the biggest magic trick ever performed, and Christopher Nolan is the most brilliant magician the world has ever seen."
29,★★★★½,Blink and you miss a detail.
30,★★★★,Directors love magic tricks. Me too.
31,★★★★,the prestige 2006: *loud coughing*
32,★★★★½,"I swear, this film somehow keeps getting better and better every time I watch it!"
33,★★★★½,"oh, so that's what happened to prankvsprank"
34,★★★★★,"My favorite Nolan film to date and that's a hard thing to say when he has titans like Interstellar, Inception, Memento and The Dark Knight under his belt."
35,★★★★★,Hugh Jackman and Christian Bale are both amazing in their roles. Micheal Caine and Scarlett Johansson are also great in their supporting roles. Even David Bowie is great as Tesla.
36,★★★★,Hugh Jackman and Christian Bale get into an extreme dick-measuring contest to find out who's the better magician!
37,★★★,Pacific Design Center
38,★★★★★,"Twists made right, so many clues. Nolan's best movie so far."
39,★★★★★,Undeniably the best Nolan film.
40,★★★★★,ngl to you all i am very drunk but this is the greatest film of all time don't even try and deny it ffs... i love hugh jackman with all my heart... what a pure soul...
41,★★★★★,"This is one of that rare movies that just improves each time you see it. Even when all the secrets are known, there is still immense pleasure in watching everything play out. Are you watching closely?"
42,★★★★,the superior movie in which hugh jackman's character is frequently referred to as a showman
