,Comments
0,hans zimmer: TICK TOCK MOTHERFUCKER
1,"so thank you, harry styles."
2,chris nolan: actually can I have 100 more of these dark-haired british twinks?
3,harry styles and the mysterious ticking noise
4,its ok christopher you can admit you just wanted harry styles running around a beach with 3 other white teenagers to recreate your world war 2 fanfiction of the thats what makes you beautiful video
5,"i thought i got away with watching this on my laptop instead of imax but as soon as the credits started rolling, christopher nolan physically manifested in my room and started poking me in the left eye while yelling about the sanctity of the theatrical experience"
6,shook
7,Me: OH MY FUCKING GOD
8,wow! my favorite part was *incomprehensible british mumbling*
9,harry ate the FUCK out of that toast!!!!!
10,i didn't understand a damn word these white men were saying half the time but you know what ! masterpiece!!
11,"3rd time seeing this, 3rd time wishing i was dead, 3rd time crying."
12,"The first 20 minutes or so is the best thing Nolan has ever accomplished. The rest is a formal experiment I find so meaningless, dull and empty that I felt completely alienated from everything on the screen."
13,"While it does feel like a movie I should like because everyone else likes it, I still really like it. AMAZINGLY shot and great performances all around. I have nothing to say that hasn't already been said about it."
14,i am incredibly surprised by my ability to spot harry styles in a crowd of white men
15,tick tick tick tick tick tick tick tick
16,"damn, great scene."
17,The theatrical experience is officially DEAD.
18,"filmed in glorious 70mm, with 'dunkirk,' christopher nolan shows us distinctly just how tiny kenneth branagh's lips are"
19,"After an hour and a half I was like, ""This is the longest trailer I've ever seen."""
20,the new three act.
21,"((Plus the week really doesn't seem like a week, does it? More like two or three days. I'd suggest the structure is unnecessary were it not for Cillian Murphy's brief but superlatively disorienting appearance in ""The Mole.""))"
22,harry was a bit of a prick wasn't he
23,I find it amusing that Nolan is so seemingly obsessed with time and yet does such a consistently poor job at depicting it.
24,click here to hear/see the gushing
25,would love to understand one someday
26,"my dad only gave this four stars & when i asked him what caused that whole star subtraction he stared mistily into space for a minute before he said thoughtfully, ""the boats ... the boats were too clean. not enough shitboxes"" and ya know i can't fault him on that! your move chris"
27,.
28,imagine being a harry styles fan and being excited that your fave is gonna be in his first ever movie and it's a nolan movie at that and you go to the cinema after months of anticipation you buy your ticket and then it ends and you realize all your fave did was eat some bread
29,"I have mixed feelings about taking my WWII vet grandfather, who is in his 90s, to this. The visceral intensity was distressing for him, and he also was frustrated at having to watch a WWII movie about fleeing and failure. Of course this is also what I think makes the film brave and brilliant."
30,fine lines
31,nolan knows that tom hardy's lips are the source of his power so ever since 2010 he's insisted on covering them up
32,"(fucking amazing film, again)"
33,.
34,"in the middle my dad leaned in and asked me ""is that henry style"""
35,love the part where the beach twinks are hiding in the ship waiting for the tide to come in and then the ting go skrrra pap pap ka ka ka skibidi pap pap & a pu pu drrr boom SKIAA
36,"who knew nolan had something this stripped down and elemental in him? ""old bloke wouldn't even look us in the eye."""
37,"u know what im not even surprised my thirsty ass developed a crush on barry keoghan and his weird ass face, i sensed there was an underlying thirsty reason behind my sudden irrational desperate desire to watch dunkirk and when barry and his sleeveless gap sweater flashed on my laptop screen at 1pm on this fated thursday afternoon I Knew"
38,", home is where the heart is. Maybe by the time Nolan makes his space western, the truth will set him free."
39,knows how to do is immerse you into his films giving you the full theater experience no matter where your watching it.
40,the sweaters in this are so on point it's kind of like a really intense J Crew ad
41,"I honestly don't know what to say. Everything everybody said about this was right on the money. Gorgeous, grueling, tense, visceral, gut-wrenching, haunting, powerful, fucking loud. There's about 3 minutes of peace before the tension starts, and it does not let up at any point in the movie from then on. Every aspect of this movie was done so well, it's astounding. Absolutely see it in IMAX 70mm if you can."
42,"I was going to make a joke about how pretty all those boys were but a film this good doesn't deserve that. This is incredible. Nolan's talent is unrivalled. I cannot put into words how good this was or how well it was made, just... wow"
43,the ideal way to see this is in IMAX but I almost went deaf just seeing it in regular theaters... Nolan trying to kill me... Also I can't believe it's 2017 and 1D is still getting my coins smh
44,"oh, whoa, whoa-oh"
45,: ...no
46,i watched this in imax while drinking a large tim hortons iced capp and i came VERY close to dying
47,www.larsenonfilm.com/dunkirk
48,"vain british chauvinism coupled with nolan's usual sweatshop approach to visual design. this is nothing more than an obtuse and literally deafening exercise in conservative revisionist history and bludgeoning the viewer into submission through sheer force of sound mixing. almost an immaterial narrative, there's nothing of emotional content here, it's a series of unremarkable vignettes that are all spectacularly boring in their own unique ways. nolan is the winston churchill of filmmaking: a stubborn fascist who's managed to bully his way into convincing people that he's a noble genius."
49,"i don't even know what to say, this is a masterpiece y'all.....christopher nolan did THAT"
50,"Checked this out at my local IMAX theater. It really might be Christopher Nolan's masterpiece, at least from a technical standpoint. And it's also the one film that feels the least Nolan-like. The Hans Zimmer score is intense as hell. And the dogfight scenes with the spitfire planes are absolutely exhilarating and breathtaking. It's a gorgeous looking war film that ranks as one of the best contemporary WW2 films along with Saving Private Ryan and The Thin Red Line."
51,"were the casting requirements for everyone in this movie just ""have a good facial bone structure"""
52,"Telling the story from a numbers of different perspectives and yet not confusing are really astonishing. Nolan does an incredible job of making a war movie without any blood, we never see a German, and dialogue is at a minimum. Instead, cinematography and color are magical. Hans Zimmer's excellent soundtrack, creates a tense atmosphere where time feels like it's running out. Great cast. Also who would know Harry Styles could actually act. I wanted a little more of an emotional payoff, but this is a solid film and is well worth your time."
53,my heart was beating at 300 bpm for 100 minutes
54,Watched again because Harry Styles
55,I searched for quotes from this movie to use in this review but all that came up were lines of inaudible mumbling and whispering
56,"""No more questions Shivering Soldier"""
57,1d stans: heres how harry styles can still win best actor
58,"When a film gives you so many goosebumps and makes your heart beat so many times that you cannot keep count, you know you are in a ride for something masterfully intense. Great to see you back in action, Nolan."
59,Beautiful film.
60,. Not a hater; not a fan.
61,me rolling off my bed and slamming onto the ground every time the soldiers leap off the sinking boats into the water: YOU JUMP I JUMP
62,imax more like diemax amirite folks
63,"Much, much more on this later."
64,https://t.co/0KGMy1Dbtx
65,unprecedented to watch
66,is an amazing war film.
67,ohthatfilmblog.com/2017/07/24/dunkirk-2017/
68,christopher nolan said actually can i have 1000 more of those little brunette bitches
69,80
70,"me, lying awake in bed in the middle of the night, on the verge of a panic attack: tick tock....................."
71,"Yours sincerely, the defender and protector of the shivering soldier."
72,"I get that they're British, but 80% of all civilian/nurse dialogue is basically: ""can I get you a cup of tea?"""
73,Original review video here
74,Original review video here
75,Dunkirk is a masterpiece.
76,"who's gonna tell christopher nolan that his serious war movie was a little less intense due to the fact that he cast a group of men that all look like harry styles, one of which is the actual harry styles."
77,"I'd love to know why, of all people, Harry Styles was put in this movie. I'm not complaining, I'm just curious as to why."
78,Christopher Nolan really knows how to make an amazing film.
79,did hans zimmer ticking make me anxious or was i anxious before i started the film?
80,A terrifying account of when soldiers are completely cut off from all avenues of escape and have no choice but to go in one direction.
81,Christopher Nolan just made a Terrance Malick film and I loved every second of it.
82,harry styles i love your work
83,me whenever Farrier does anything: That's one hell of a pilot!
84,"christopher nolan's camera/cillian murphy's eyes. 100k. mutual pining, soulmates, friends to lovers"
85,"A thunderous, awe-inspiring symphony of intense, visceral filmmaking, Dunkirk makes for an impeccably structured, terrifically acted, thoroughly engrossing experience that only Christopher Nolan could deliver."
86,there are 40 thousand british twinks with jawlines and thick english mumbles that this shit just became a gay film! thank you daddy nolan !!
87,"GLIDE, PLANE BOY, GLIDE"
88,I have lost faith in humanity
89,cillian murphy as the shivering soldier we love to see that
90,is the definition of remaining unbothered
91,so yeah this lives up to the hype! and harry styles is great in this who knew he could act?
92,"I was pretty drunk watching this film, but it seemed dope."
93,"i remember when this came out and a friend of mine was going to see it and i told him not to tell me any spoilers and then suddenly hours after the fact, i had realized i had fucked up"
94,5/5
95,me: exhales
96,It's gonna win a BUNCH of awards.
97,"If you're planning to see this, go see it in 70mm."
98,again i'm speechless. CN has done it again. i really can't say anything apart from this is the best war film i've ever seen and i've never experienced anxiety and tension in a film before like this.
99,I Wish I Was At Home Watching The Thin Red Line
100,This could easily end up being my most rewatched film of the year.
101,"This is shot so well, wow. But that's about it. Still a great time!"
102,"Little more than a mid-length experiment in cross-cutting as Hollywood blockbuster, and very fun to study just for that purpose."
103,for a dollar name a woman
104,IMAX film at Universal City Walk
105,"Dunkirk is a cinematically brilliant and a storytelling wonder. The actualization of the gritty aspecrs of war, along with the intense emotions gripping each soldier involved is one to behold. Those who are familiar with the history of the evacuation of the British army from the French beaches of Dunkirk in 1940 may have seen the past dry/unremarkable film and documentary versions recounting this event. The film is a complete 180 degree turn in both the visual and very intense soundtrack experience by Hans Zimmer. Overall, Christopher Nolan proves to us again of his versatility while still retaining his masterful touch."
106,is a god of making haunting and blood-curdling scores .
107,Me (Wiping my tears) : I Know...
108,.
109,perfect in every sense of the word !!! this film truly owns me and my weak heart ... wow i love feeling every emotion possible and being unable to breathe for 107 minutes !!!
110,"Christopher Nolan, 75th Annual Golden Globe Awards, year of our Lord (Nolan himself) 2018."
111,I didn't think that we'd get to the point in time where a Christopher Nolan film is UNDERRATED but here we are.
112,christopher nolan i watched this on my laptop please forgive me
113,Stunningly visceral and masterfully crafted.
114,"y'all know that vine of that dude folding clothes and singing ""you better watch out you better watch out YOU BETTER WATCH OUT"" with more and more intensity? this is the 106 minute version of that. I feel like I just had 20 panic attacks in a row. thanks hans zimmer."
115,"While I wasn't completely blown away by the story, Dunkirk was still very affective in establishing its tone and transporting you into the war zone. The film wasn't completely memorable, but it had enough shocking images and tense conflicts to make Christopher Nolan's war epic a powerful experience."
116,I like the idea of a ship named Mimosa in a war
117,Chapeau for Christopher Nolan. Always a warranty.
118,when harry styles wins his academy award...then you will see
119,That feel when you think you love a movie because it's about history and has non-linear story-telling but over time you realize it's more because of how it heavily relates to and relies on the need to care about and help other people even if you don't know them because with so much bad stuff happening in the world it's impossible to survive without the kindness of other people!!!!
120,"Also, I finally finished all the Best Picture Nominees of 2017!"
121,hans zimmer better be ready to pay for my gotdamn therapy sessions
122,"Four dimensions: Height, Width, Depth, and Time. Four elements: Earth, Air, Fire, Water. One goal: Survival. The enemy has no face, but makes its intention known: Death. On one side, we are all driven by our individual impulses. On another, we show community and selflessness. Even though the nature of existence is constantly being threatened, hope still lingers. A miracle can save us, so just hang in there. Home is within your grasp."
123,really wish I could understand people with British accents
124,"Hey, Nolan please stop making films."
125,"Good movie but damn tone it down, Hans."
126,THANKS CHRIS NOLAN AND HANS ZIMMER FOR MAKING ME HAVE 50 FUCKIN HEART ATTACKS IN THE MIDDLE OF THE CINEMA... I FELT LIKE I PERSONALLY WAS ABOUT TO BE SHOT AT ANY MOMENT TALK ABOUT FUCKING VISCERAL...
127,"i fell asleep and woke up and pointed to harry styles and some other guy and went ""THEY'RE BAD GUYS!"""
128,I feel like going in knowing about the actual circumstances of the battle will help a lot with expectations though.
129,Let it overwhelm you.
130,"My words are limited, which make me wanna see it again, but Dunkirk is one of the greatest achievements in directing and editing ever to grace the silver screen. 20 years from now, it'll be shown in film school."
131,"2 hours of me asking myself ""is that one harry styles?"""
132,someone please reassure me that Tom Hardy makes it safely out of german imprisonment after the end of the movie thank you
133,makes him tear up.
134,"Christopher Nolan's Dunkirk, recreates the full story of the retreat. Rather than the usual eulogies of military and civilian unity against foreign enemies, he reveals the true relationship between war and everyone through three perspectives, one hour, one day and one week, in a panoramic interweaving of sea, land and air. It not only makes you see the history, but also brings you back to the beach of despair and death, and takes you through Dunkirk all over again."
135,THE BEST WAR MOVIE EVER!
136,"i love MY best picture winner (the shape of water deserved to win too tho, and i am SO happy for gdt)"
137,"still completely blows me away, and i love this cast so fucking much"
138,Full Review
139,"my favourite character in this is collins, (the RAF pilot that isn't tom hardy) don't ask me why, i have no idea i just love him and i want a backstory"
140,I started crying as soon as he started reading the newspaper out loud wow I love happy endings
141,Nothing quite hits my emotions like when that engine cuts.
142,Watched this in an imax theater where my buddy works. We weren't supposed to be there but he didn't get in trouble.
143,hans zimmer SNAPPED with this score my bones were tingling with dread
144,is a remarkable film.
145,"A masterpiece, I love you Christopher Nolan!!"
146,"Nolan's most technically proficient film. So stressful yet so freeing by the end and imbued with so much reality, identity, and soul. That ending made me cry this time - it felt like home."
147,Very good.
148,omg i can't believe harry styles fought in world war ii
149,.
150,"- Jack Lowden as Collins, but also me every 10 seconds for 107 minutes."
151,"Christopher Nolan's WWII drama is suberbly crafted with moments of intense dread, its brillantly put together with some fantastic visual imagery and very little dialogue...another surprising aspect the film's length , in a age of bloated running times - this runs at under two hours which does'nt feel overstuffed or underserved...with a cast delivering unshowy performances (Tom Hardy, Mark Rylance, Kenneth Branagh & Cillian Murphy) Dunkirk just might be one of the years finest movies if not than probably one the most important."
152,WOW GUYS WOW
153,i would die for this film
154,"No doubt the most gorgeous film of the year, even for a Nolan bottle episode. Dunkirk is tense and droning I'm surprised my butthole held up. So perfectly plotted I like to imagine those many sleepless nights Nolan must of spent in low light looking vaguely like a sweaty Quentin Tarantino, making flow charts. Is it in Tom Hardys contract to have his face covered up?"
155,at something than I have at this movie.
