,Comments
0,"I have a headache, but it's the best headache I've ever had."
1,tell me you wouldn't cry too if your son grows up to be casey affleck
2,"I'm pretty sure no one will EVER come close to being as talented as Hans Zimmer is, also I would kill 10 people just to see this in theaters."
3,When those Zimmer organs kick in *biggest possible chef's kiss*
4,i needed a REALLY good cry
5,HOLY SHIT I AM REALLY NOT OKAY WITH BEING ALIVE RIGHT NOW
6,you know youre #FAMOUS when just the fact that you're randomly in the movie is the Big Twist (@mattdamon)
7,watched on my 13 inch macbook air just as christopher nolan intended <3
8,JESSICA CHASTAIN SAVED US ALL
9,(she also happened to be my mom)
10,christopher nolan should make a superhero movie. imagine how good that would be
11,hahahaha the main menu came on and i started crying what the fuck why is this the saddest movie to ever exist
12,A visionary achievement that I will cherish until I settle down for the long nap.
13,www.littlewhitelies.co.uk/theatrical-reviews/interstellar-28347
14,i hate to sound like a cheesy old white lady but that shit is breathtaking bro
15,fuck you matthew mcconaughey for making me cry
16,And half stupid ass bumbfuck ending dumbass stupid ass what the dumb halo ring human life bull bdkrkfigi
17,this planet were going to be around long enough for jessica chastain to figure out a way to get us all the fuck off of it
18,the best film of the 2010s
19,"Nolan's protagonists have always been obsessed explorers of one form or another. Somehow I don't think I realized until now just how much they're driven by loss, battling the universe's unbending laws forbidding the undoing of a past trauma or mistake."
20,.
21,"Time and space, quantifiable love, the 4th dimension - Nolan's masterpiece and one of the best films of the decade; montage/crosscutting that makes you believe there is, again since the renaissance, a true link between art and science. It reminds me of Jia Zhangke's notes on Godard, Tarkovsky and Eisenstein: that the former two did not go as far as Eisenstein because they only studied art and politics, but failed to study physics and chemistry."
22,Why did they have to go and ruin what could have been a great film!
23,"After watching this film, you will want to downgrade all of the ratings you have ever given on Letterboxd."
24,"obviously, all clashing with nolan's cold precision and construction that attempts to turn scientific theory and very basic existential and emotional ideas of generational mortality into something not just physically tangible but physically achievable. ultimately makes this kind of feel like watching a weird, sad robot man try to algorithmically process the value of humans as deeply frail and emotional beings, which is dramatically misguided maybe but so conceptually moving i can't help but get swept up in it. i feel every corny second of this thing."
25,remember how nasa asked sally ride if 100 tampons was enough for one week in space? anne hathaway goes for like two minutes tops and she wants to fuckin go to planet whatever to chase after a dude she banged ten years ago because women are guided by their emotions and love is all you need
26,"""Fu-gay-zee, fugazi, it's a wozzy it's a woozy."""
27,e) All of the above.
28,how dare this fucking movie make me cry... TWICE
29,"So good in its best sequences, so immensely flawed, over-explained, nonsensical, or insulting in others."
30,ZOOP! THIS MOVIE RUINED MY LIFE
31,Still don't like Inception though
32,stans where you at???
33,my wig flew and is currently orbiting every far corner of space and time with mr mcconaughey
34,It is two and half hours of show and tell I will not put myself through again.
35,The great (unintentional) running joke in Interstellar? It's all about fixing problems with GRAVITY. It succeeds.
36,"Favorite laughable non-spoiler moment: when it turns out there is a dry erase board on the reverse side of a monitor on the spaceship, useful for diagramming ways to avoid black holes."
37,The most jaw dropping part of this is still when Matt Damon shows up
38,"Trotzdem kam heute seltsamerweise ein ""Like-Stern"" hinzu."
39,www.larsenonfilm.com/interstellar
40,science-fiction is the best thing ever
41,"This was not the case, because I was once again left sitting in the theater completely amazed and not knowing what to do or say (for the most part). But I'm not complaining."
42,Patreon
43,*new word?
44,"gshsbdvsv as we were leaving the theatre this guy goes ""one hour of a christopher nolan movie is four years of real time"""
45,Christopher Nolan is a modern cinematic genius.
46,Where do I put all the tears I've been choking on for the past hour.
47,2001: A Space Odyssey with an audio commentary track you can't turn off
48,Happy 1 hour anniversary
49,In space every one can hear your love
50,I WILL NEVER TRUST MATT DAMON FOR AS LONG AS I LIVE. FUCK MATT DAMON !!!
51,"(also: thank you all for 4,000 followers! it really means a lot <3)"
52,it seems that one of my newfound favourite hobbies is translating Michael Caine's lines from this film into English
53,before the end credits even rolled.
54,"."""
55,"hello my name is sree and my hobbies include crying, sobbing, weeping... oh and bawling"
56,"Inception is still his masterpiece but still, this is easily one of the greatest sci-feats i've seen. Thank you once again, Christopher. You're MAGNIFICENT!"
57,I would rather snorkel on the giant wave planet than watch this movie ever again
58,"matthew mcconaughey was indeed that astronaut in the ocean, rolling down the in deep"
59,Most visceral/exciting theater-going experience I've had in maybe ever. IMAX or nothing. Adored Zimmer's score. Loved it.
60,"Better than I remember, idk why but I reaaally enjoyed it this time."
61,ebiri.blogspot.com/2014/12/interstellar-loneliest-journey-in-human.html
62,he was her fuckign ghost
63,tars
64,sometimes i really do wonder if there is ever going to be another film like this
65,Love is the one thing we're capable of perceiving that transcends time and space.
66,"Interstellar is a grand experience. It's about family, selflessness, sacrifice, the amazing vastness of time and space. Christopher Nolan has on his hands perhaps the third perfect film in his belt, which is incredible considering he should be making movies for years to come, with permission to do whatever he wants, hopefully we can get more stories that explore the existence of humanity, really make us think reasonably and logically about what's next. Overall, Interstellar is one of those masterpieces that only gets better as time goes by and shall be remembered with generations to come."
67,my eyes are WET
68,Nope. Still a masterpiece.
69,"no words, apart from christopher nolan is the best working director alive today."
70,i fell asleep like 6 times
71,and it still has the same astounding impact it had on me upon my first time witnessing it in the theater last November. One of my all-time favorite experiences with a film. I love every second of this beautiful creation.
72,i sad
73,.
74,it's pretty crazy how jessica chastain sacrificed herself for our sins
75,"Alright, astronauts"
76,yet another movie that reinforces the idea that jessica chastain is the only one who can save the world and that matt damon should be just left in space
77,"Equal parts science lesson, metaphysical mumbo-jumbo and emotional manipulation. I loved it."
78,"Really great, liked it more than I remember."
79,i hope christopher nolan and hans zimmer are having a good day.
80,"this is definitely one of my favorite films ever, and who knows, in time it might even become my absolute favorite"
81,"""I hate space travel. Everyone gets older, I stay the same age."""
82,10/10
83,screencrush.com/see-interstellar-on-film/
84,heartbreak and pain kick in from these lines!!!!!!! here we fucking go !
85,Matthew thanks for making me cry my eyes out.
86,of Man out of time.
87,"for some reason i never got round to watching this, and i can say that not having experienced the transcendent beauty of this film until now is one of biggest regrets. it breaks and rebuilds your heart in the most unique way and i was completely hypnotised, so to the other 2-5 people in the world who haven't seen it, PLEASE WATCH PLEASE"
